Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11105,11105
2020-12-18,12/18,16864,16864
2020-12-19,12/19,18549,18549
2020-12-20,12/20,19647,19647
2020-12-21,12/21,25912,25912
2020-12-22,12/22,35624,35624
2020-12-23,12/23,49839,49839
2020-12-24,12/24,57072,57072
2020-12-25,12/25,57251,57251
2020-12-26,12/26,61597,61597
2020-12-27,12/27,65428,65428
2020-12-28,12/28,76377,76377
2020-12-29,12/29,87051,87051
2020-12-30,12/30,99846,99846
2020-12-31,12/31,107073,107073
2021-01-01,1/1,107233,107233
2021-01-02,1/2,111035,111035
2021-01-03,1/3,114577,114577
2021-01-04,1/4,127530,127530
2021-01-05,1/5,143499,143499
2021-01-06,1/6,164915,164915
2021-01-07,1/7,186187,186187
2021-01-08,1/8,207822,207822
2021-01-09,1/9,216857,216857
2021-01-10,1/10,225599,225599
2021-01-11,1/11,258311,258311
2021-01-12,1/12,293893,293893
2021-01-13,1/13,334548,334548
2021-01-14,1/14,375160,375160
2021-01-15,1/15,407259,407259
2021-01-16,1/16,439327,439327
2021-01-17,1/17,464480,464480
2021-01-18,1/18,493437,493437
2021-01-19,1/19,535602,535602
2021-01-20,1/20,580449,580449
2021-01-21,1/21,613358,613358
2021-01-22,1/22,641711,641711
2021-01-23,1/23,660126,660126
2021-01-24,1/24,670462,670462
2021-01-25,1/25,694479,694479
2021-01-26,1/26,721294,721294
2021-01-27,1/27,753623,753623
2021-01-28,1/28,795308,795308
2021-01-29,1/29,837753,837753
2021-01-30,1/30,859522,859522
2021-01-31,1/31,875035,875035
2021-02-01,2/1,881305,881305
2021-02-02,2/2,893097,893097
2021-02-03,2/3,929315,929315
2021-02-04,2/4,974402,974402
2021-02-05,2/5,1020450,1020450
2021-02-06,2/6,1053734,1053734
2021-02-07,2/7,1073595,1073595
2021-02-08,2/8,1112886,1112886
2021-02-09,2/9,1157217,1157217
2021-02-10,2/10,1204877,1204877
2021-02-11,2/11,1264527,1264527
2021-02-12,2/12,1330688,1330688
2021-02-13,2/13,1381809,1381809
2021-02-14,2/14,1420277,1420277
2021-02-15,2/15,1442351,1442351
2021-02-16,2/16,1482053,1482053
2021-02-17,2/17,1519184,1519184
2021-02-18,2/18,1554590,1554590
2021-02-19,2/19,1590333,1590333
2021-02-20,2/20,1625904,1625904
2021-02-21,2/21,1649130,1649130
2021-02-22,2/22,1673004,1673004
2021-02-23,2/23,1711181,1711181
2021-02-24,2/24,1764855,1764855
2021-02-25,2/25,1846877,1846877
2021-02-26,2/26,1937897,1937897
2021-02-27,2/27,2009710,2009710
2021-02-28,2/28,2066542,2066542
2021-03-01,3/1,2116129,2116129
2021-03-02,3/2,2173411,2173411
2021-03-03,3/3,2235218,2235218
2021-03-04,3/4,2314952,2314952
2021-03-05,3/5,2397818,2397818
2021-03-06,3/6,2465337,2465337
2021-03-07,3/7,2519310,2519310
2021-03-08,3/8,2579206,2579206
2021-03-09,3/9,2635060,2635060
2021-03-10,3/10,2703015,2703015
2021-03-11,3/11,2783313,2783313
2021-03-12,3/12,2864288,2864288
2021-03-13,3/13,2932048,2932048
2021-03-14,3/14,2971738,2971738
2021-03-15,3/15,3014019,3014019
2021-03-16,3/16,3064915,3064915
2021-03-17,3/17,3122386,3122386
2021-03-18,3/18,3177203,3177203
2021-03-19,3/19,3230395,3230395
2021-03-20,3/20,3275922,3275922
2021-03-21,3/21,3295812,3295812
