Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-03-21,3/21,19890,19890
2021-03-20,3/20,45527,45527
2021-03-19,3/19,53192,53192
2021-03-18,3/18,54817,54817
2021-03-17,3/17,57471,57471
2021-03-16,3/16,50896,50896
2021-03-15,3/15,42281,42281
2021-03-14,3/14,39690,39690
2021-03-13,3/13,67760,67760
2021-03-12,3/12,80975,80975
2021-03-11,3/11,80298,80298
2021-03-10,3/10,67955,67955
2021-03-09,3/9,55854,55854
2021-03-08,3/8,59896,59896
2021-03-07,3/7,53973,53973
2021-03-06,3/6,67519,67519
2021-03-05,3/5,82866,82866
2021-03-04,3/4,79734,79734
2021-03-03,3/3,61807,61807
2021-03-02,3/2,57282,57282
2021-03-01,3/1,49587,49587
2021-02-28,2/28,56832,56832
2021-02-27,2/27,71813,71813
2021-02-26,2/26,91020,91020
2021-02-25,2/25,82022,82022
2021-02-24,2/24,53674,53674
2021-02-23,2/23,38177,38177
2021-02-22,2/22,23874,23874
2021-02-21,2/21,23226,23226
2021-02-20,2/20,35571,35571
2021-02-19,2/19,35743,35743
2021-02-18,2/18,35406,35406
2021-02-17,2/17,37131,37131
2021-02-16,2/16,39702,39702
2021-02-15,2/15,22074,22074
2021-02-14,2/14,38468,38468
2021-02-13,2/13,51121,51121
2021-02-12,2/12,66161,66161
2021-02-11,2/11,59650,59650
2021-02-10,2/10,47660,47660
2021-02-09,2/9,44331,44331
2021-02-08,2/8,39291,39291
2021-02-07,2/7,19861,19861
2021-02-06,2/6,33284,33284
2021-02-05,2/5,46048,46048
2021-02-04,2/4,45087,45087
2021-02-03,2/3,36218,36218
2021-02-02,2/2,11792,11792
2021-02-01,2/1,6270,6270
2021-01-31,1/31,15513,15513
2021-01-30,1/30,21769,21769
2021-01-29,1/29,42445,42445
2021-01-28,1/28,41685,41685
2021-01-27,1/27,32329,32329
2021-01-26,1/26,26815,26815
2021-01-25,1/25,24017,24017
2021-01-24,1/24,10336,10336
2021-01-23,1/23,18415,18415
2021-01-22,1/22,28353,28353
2021-01-21,1/21,32909,32909
2021-01-20,1/20,44847,44847
2021-01-19,1/19,42165,42165
2021-01-18,1/18,28957,28957
2021-01-17,1/17,25153,25153
2021-01-16,1/16,32068,32068
2021-01-15,1/15,32099,32099
2021-01-14,1/14,40612,40612
2021-01-13,1/13,40655,40655
2021-01-12,1/12,35582,35582
2021-01-11,1/11,32712,32712
2021-01-10,1/10,8742,8742
2021-01-09,1/9,9035,9035
2021-01-08,1/8,21635,21635
2021-01-07,1/7,21272,21272
2021-01-06,1/6,21416,21416
2021-01-05,1/5,15969,15969
2021-01-04,1/4,12953,12953
2021-01-03,1/3,3542,3542
2021-01-02,1/2,3802,3802
2021-01-01,1/1,160,160
2020-12-31,12/31,7227,7227
2020-12-30,12/30,12795,12795
2020-12-29,12/29,10674,10674
2020-12-28,12/28,10949,10949
2020-12-27,12/27,3831,3831
2020-12-26,12/26,4346,4346
2020-12-25,12/25,179,179
2020-12-24,12/24,7233,7233
2020-12-23,12/23,14215,14215
2020-12-22,12/22,9712,9712
2020-12-21,12/21,6265,6265
2020-12-20,12/20,1098,1098
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5759,5759
2020-12-17,12/17,4486,4486
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,76,76
