Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,16.573765807591542,31.270361302769125,31.270361302769125,% At Least 1 Dose
Queens,Queens,Borough,Borough,12.004666518587968,27.02297795872947,27.02297795872947,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,18.042016545322447,33.65274711575021,33.65274711575021,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,10.34360564844178,23.117382255328543,23.117382255328543,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,12.62980295781463,22.677812680803726,22.677812680803726,% At Least 1 Dose
85+,85+,Age,Age,23.891515496987783,38.211000458259285,38.211000458259285,% At Least 1 Dose
75-84,75-84,Age,Age,30.834815054486793,49.790346249537194,49.790346249537194,% At Least 1 Dose
65-74,65-74,Age,Age,30.1667373868766,52.84274375865156,52.84274375865156,% At Least 1 Dose
55-64,55-64,Age,Age,12.916092332330761,34.082658736225845,34.082658736225845,% At Least 1 Dose
45-54,45-54,Age,Age,10.55562418355645,24.536153068757798,24.536153068757798,% At Least 1 Dose
35-44,35-44,Age,Age,9.559453464050678,20.587893810042342,20.587893810042342,% At Least 1 Dose
25-34,25-34,Age,Age,8.133860034953182,16.547224201135137,16.547224201135137,% At Least 1 Dose
18-24,18-24,Age,Age,3.6987482797687417,9.198905041097658,9.198905041097658,% At Least 1 Dose
Male,Male,Sex,Sex,11.837933345342828,24.805931518136344,24.805931518136344,% At Least 1 Dose
Female,Female,Sex,Sex,14.120237827765417,27.830776006398118,27.830776006398118,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,6.269972798698005,14.195868726407863,14.195868726407863,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,6.412972425160765,14.858082762907527,14.858082762907527,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,11.150689576178854,27.55579039366672,27.55579039366672,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,12.509208137736271,26.243373325681947,26.243373325681947,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,14.014126531374652,25.64800594126102,25.64800594126102,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,28.7126756555305,58.168561207235214,58.168561207235214,% At Least 1 Dose
