Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,112729,0.1153950881158281,0.1153950881158281
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,1599,0.0016368170204403,0.0016368170204403
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,2608,0.002669680293501,0.002669680293501
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,125438,0.1284046612945493,0.1284046612945493
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,183964,0.1883148257337526,0.1883148257337526
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,196053,0.2006897356525157,0.2006897356525157
18 to 64 years,18 to 64 years,White,White,NYC,NYC,354505,0.362889191889413,0.362889191889413
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,31225,0.1178862402500812,0.1178862402500812
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,474,0.0017895301162062,0.0017895301162062
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,672,0.0025370553546214,0.0025370553546214
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,20357,0.0768554104970665,0.0768554104970665
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,28763,0.1085912547097865,0.1085912547097865
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,34564,0.1304922340433565,0.1304922340433565
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,148819,0.5618482750288818,0.5618482750288818
65+ years,65+ years,Other,Other,NYC,NYC,61338,0.1154912870336374,0.1154912870336374
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,749,0.0014102672729498,0.0014102672729498
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1334,0.002511744381996,0.002511744381996
65+ years,65+ years,Black,Black,NYC,NYC,80806,0.1521469389292136,0.1521469389292136
65+ years,65+ years,Latino,Latino,NYC,NYC,87046,0.1638960280923735,0.1638960280923735
65+ years,65+ years,Asian,Asian,NYC,NYC,83254,0.1567561969855302,0.1567561969855302
65+ years,65+ years,White,White,NYC,NYC,216578,0.4077875373042995,0.4077875373042995
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,15221,0.1283681782530593,0.1283681782530593
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,130,0.0010963710119504,0.0010963710119504
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,265,0.0022349101397451,0.0022349101397451
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,6159,0.0519426850969445,0.0519426850969445
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,7062,0.0595582468184157,0.0595582468184157
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,10154,0.0856350096564985,0.0856350096564985
65+ years,65+ years,White,White,Non- NYC,Non- NYC,79582,0.6711645990233864,0.6711645990233864
%all%,All,Other,Other,NYC,NYC,174067,0.1154289685484294,0.1154289685484294
%all%,All,NH/PI,NH/PI,NYC,NYC,2348,0.0015570281452068,0.0015570281452068
%all%,All,AI/AN,AI/AN,NYC,NYC,3942,0.0026140566219784,0.0026140566219784
%all%,All,Black,Black,NYC,NYC,206244,0.1367664875553796,0.1367664875553796
%all%,All,Latino,Latino,NYC,NYC,271010,0.1797147349371784,0.1797147349371784
%all%,All,Asian,Asian,NYC,NYC,279307,0.1852167206785672,0.1852167206785672
%all%,All,White,White,NYC,NYC,571083,0.3787020035132603,0.3787020035132603
%all%,All,Other,Other,Non- NYC,Non- NYC,46446,0.1211275613057346,0.1211275613057346
%all%,All,NH/PI,NH/PI,Non- NYC,Non- NYC,604,0.0015751850972885,0.0015751850972885
%all%,All,AI/AN,AI/AN,Non- NYC,Non- NYC,937,0.0024436232386744,0.0024436232386744
%all%,All,Black,Black,Non- NYC,Non- NYC,26516,0.0691516689399056,0.0691516689399056
%all%,All,Latino,Latino,Non- NYC,Non- NYC,35825,0.0934288180635134,0.0934288180635134
%all%,All,Asian,Asian,Non- NYC,Non- NYC,44718,0.1166210714909753,0.1166210714909753
%all%,All,White,White,Non- NYC,Non- NYC,228401,0.5956520718639082,0.5956520718639082
