Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4567302837523984
STATEN ISLAND,Staten Island,75to84,75 to 84,0.600114341000044
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6090786343470714
STATEN ISLAND,Staten Island,55to64,55 to 64,0.3984575835475579
STATEN ISLAND,Staten Island,45to54,45 to 54,0.2764289721373808
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2222935748808598
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1633059843322672
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1012299387274801
STATEN ISLAND,Staten Island,%all%,%all%,0.3173261951634428
QUEENS,Queens,85andUp,85+,0.3669332332158092
QUEENS,Queens,75to84,75 to 84,0.4649469031122086
QUEENS,Queens,65to74,65 to 74,0.5099952363224632
QUEENS,Queens,55to64,55 to 64,0.3391172667269958
QUEENS,Queens,45to54,45 to 54,0.2494146792585078
QUEENS,Queens,35to44,35 to 44,0.215401854178039
QUEENS,Queens,25to34,25 to 34,0.1673774126261576
QUEENS,Queens,18to24,18 to 24,0.0955896375413239
QUEENS,Queens,%all%,%all%,0.2736395965292242
MANHATTAN,Manhattan,85andUp,85+,0.5084666177880468
MANHATTAN,Manhattan,75to84,75 to 84,0.6388046291277102
MANHATTAN,Manhattan,65to74,65 to 74,0.6472768797396284
MANHATTAN,Manhattan,55to64,55 to 64,0.4290987069896805
MANHATTAN,Manhattan,45to54,45 to 54,0.3058231043047639
MANHATTAN,Manhattan,35to44,35 to 44,0.2602450843400642
MANHATTAN,Manhattan,25to34,25 to 34,0.2211258012202899
MANHATTAN,Manhattan,18to24,18 to 24,0.1469226210111629
MANHATTAN,Manhattan,%all%,%all%,0.3387547467755167
BROOKLYN,Brooklyn,85andUp,85+,0.3095723813260103
BROOKLYN,Brooklyn,75to84,75 to 84,0.4214380138944882
BROOKLYN,Brooklyn,65to74,65 to 74,0.4583220368811328
BROOKLYN,Brooklyn,55to64,55 to 64,0.2904299438290724
BROOKLYN,Brooklyn,45to54,45 to 54,0.219537793788046
BROOKLYN,Brooklyn,35to44,35 to 44,0.1905465576866135
BROOKLYN,Brooklyn,25to34,25 to 34,0.1600115734584856
BROOKLYN,Brooklyn,18to24,18 to 24,0.0786276006799087
BROOKLYN,Brooklyn,%all%,%all%,0.2341186446267798
THE BRONX,Bronx,85andUp,85+,0.342427381533264
THE BRONX,Bronx,75to84,75 to 84,0.4676921752792486
THE BRONX,Bronx,65to74,65 to 74,0.520830347357982
THE BRONX,Bronx,55to64,55 to 64,0.339609211208906
THE BRONX,Bronx,45to54,45 to 54,0.2260773993856361
THE BRONX,Bronx,35to44,35 to 44,0.1640995339522508
THE BRONX,Bronx,25to34,25 to 34,0.1025149707157503
THE BRONX,Bronx,18to24,18 to 24,0.0566310664694588
THE BRONX,Bronx,%all%,%all%,0.2298925880892722
%all%,%all%,85andUp,85+,0.3834177201041702
%all%,%all%,75to84,75 to 84,0.5001743214394438
%all%,%all%,65to74,65 to 74,0.5311305726945792
%all%,%all%,55to64,55 to 64,0.3455796997302198
%all%,%all%,45to54,45 to 54,0.2491676288096241
%all%,%all%,35to44,35 to 44,0.2089970498880295
%all%,%all%,25to34,25 to 34,0.1679714012073878
%all%,%all%,18to24,18 to 24,0.0937388035681877
%all%,%all%,%all%,%all%,0.2707864672681856
