Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.2706258678038924
Latino,Latino,STATEN ISLAND,Staten Island,0.1623593998348591
Black,Black,STATEN ISLAND,Staten Island,0.155202825523962
Asian,Asian,STATEN ISLAND,Staten Island,0.3259921828534168
White,White,QUEENS,Queens,0.2282637927026071
Latino,Latino,QUEENS,Queens,0.1528253797767031
Black,Black,QUEENS,Queens,0.1343223021651045
Asian,Asian,QUEENS,Queens,0.2915424265899858
White,White,MANHATTAN,Manhattan,0.3236933795499577
Latino,Latino,MANHATTAN,Manhattan,0.1938730572485026
Black,Black,MANHATTAN,Manhattan,0.1823586778986756
Asian,Asian,MANHATTAN,Manhattan,0.2628311382802921
White,White,BROOKLYN,Brooklyn,0.2151156532074911
Latino,Latino,BROOKLYN,Brooklyn,0.1377009827369884
Black,Black,BROOKLYN,Brooklyn,0.138801935198885
Asian,Asian,BROOKLYN,Brooklyn,0.2673637882231386
White,White,THE BRONX,Bronx,0.2508495996647579
Latino,Latino,THE BRONX,Bronx,0.1325416222233541
Black,Black,THE BRONX,Bronx,0.1412400526951259
Asian,Asian,THE BRONX,Bronx,0.2621074890040212
White,White,%all%,%all%,0.2586587002900496
Latino,Latino,%all%,%all%,0.1510238229721072
Black,Black,%all%,%all%,0.1437021627341043
Asian,Asian,%all%,%all%,0.2804197561301303
