Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.2978418699168478
STATEN ISLAND,Staten Island,F,Female,0.3322485140187458
QUEENS,Queens,M,Male,0.252388655728834
QUEENS,Queens,F,Female,0.2836616923491111
MANHATTAN,Manhattan,M,Male,0.3159778818948263
MANHATTAN,Manhattan,F,Female,0.3515898453816279
BROOKLYN,Brooklyn,M,Male,0.2138598997522289
BROOKLYN,Brooklyn,F,Female,0.2439156756335982
THE BRONX,Bronx,M,Male,0.2153482627056584
THE BRONX,Bronx,F,Female,0.2406461465098222
%all%,%all%,M,Male,0.2510602104216237
%all%,%all%,F,Female,0.2813719241411239
