Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3054629910128244
STATEN ISLAND,Staten Island,75to84,75 to 84,0.3865605347640618
STATEN ISLAND,Staten Island,65to74,65 to 74,0.3773762832465334
STATEN ISLAND,Staten Island,55to64,55 to 64,0.1632390745501286
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1315059527519791
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1145942474735526
STATEN ISLAND,Staten Island,25to34,25 to 34,0.0877331231941161
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0412380925692623
STATEN ISLAND,Staten Island,%all%,%all%,0.1681601590908016
QUEENS,Queens,85andUp,85+,0.2076505442682508
QUEENS,Queens,75to84,75 to 84,0.2519639353439187
QUEENS,Queens,65to74,65 to 74,0.2537878952218765
QUEENS,Queens,55to64,55 to 64,0.1171435764445257
QUEENS,Queens,45to54,45 to 54,0.1002103961034915
QUEENS,Queens,35to44,35 to 44,0.0954799704431756
QUEENS,Queens,25to34,25 to 34,0.0812611076198821
QUEENS,Queens,18to24,18 to 24,0.0400054823622233
QUEENS,Queens,%all%,%all%,0.1224835051845786
MANHATTAN,Manhattan,85andUp,85+,0.3598437086182962
MANHATTAN,Manhattan,75to84,75 to 84,0.473877992528438
MANHATTAN,Manhattan,65to74,65 to 74,0.4432471859702082
MANHATTAN,Manhattan,55to64,55 to 64,0.160379278097208
MANHATTAN,Manhattan,45to54,45 to 54,0.12926623638578
MANHATTAN,Manhattan,35to44,35 to 44,0.1217995109204505
MANHATTAN,Manhattan,25to34,25 to 34,0.1122859479650368
MANHATTAN,Manhattan,18to24,18 to 24,0.0568730486154769
MANHATTAN,Manhattan,%all%,%all%,0.1816602708914972
BROOKLYN,Brooklyn,85andUp,85+,0.1754609650843468
BROOKLYN,Brooklyn,75to84,75 to 84,0.2311154030057847
BROOKLYN,Brooklyn,65to74,65 to 74,0.2356844223113255
BROOKLYN,Brooklyn,55to64,55 to 64,0.1052618685145327
BROOKLYN,Brooklyn,45to54,45 to 54,0.0890928542892547
BROOKLYN,Brooklyn,35to44,35 to 44,0.0819557189387295
BROOKLYN,Brooklyn,25to34,25 to 34,0.0697364697973156
BROOKLYN,Brooklyn,18to24,18 to 24,0.0301210929720475
BROOKLYN,Brooklyn,%all%,%all%,0.1047525355396872
THE BRONX,Bronx,85andUp,85+,0.2298510908974654
THE BRONX,Bronx,75to84,75 to 84,0.3024841248869778
THE BRONX,Bronx,65to74,65 to 74,0.3207935291180398
THE BRONX,Bronx,55to64,55 to 64,0.1604826836673186
THE BRONX,Bronx,45to54,45 to 54,0.1173017618102671
THE BRONX,Bronx,35to44,35 to 44,0.091232755689556
THE BRONX,Bronx,25to34,25 to 34,0.0601577468840545
THE BRONX,Bronx,18to24,18 to 24,0.0245345916077989
THE BRONX,Bronx,%all%,%all%,0.128246200685322
%all%,%all%,85andUp,85+,0.2410667381998234
%all%,%all%,75to84,75 to 84,0.3114552291231194
%all%,%all%,65to74,65 to 74,0.3052956684451061
%all%,%all%,55to64,55 to 64,0.1317577163903867
%all%,%all%,45to54,45 to 54,0.1073206839498992
%all%,%all%,35to44,35 to 44,0.0969165436720362
%all%,%all%,25to34,25 to 34,0.0821831112644815
%all%,%all%,18to24,18 to 24,0.0375664765431393
%all%,%all%,%all%,%all%,0.1330243623961288
