Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.1519499588109472
STATEN ISLAND,Staten Island,F,Female,0.1814071340336981
QUEENS,Queens,M,Male,0.1108557307256136
QUEENS,Queens,F,Female,0.1319204888706597
MANHATTAN,Manhattan,M,Male,0.1624470630419014
MANHATTAN,Manhattan,F,Female,0.196151370153417
BROOKLYN,Brooklyn,M,Male,0.0937643972209999
BROOKLYN,Brooklyn,F,Female,0.1130645710422566
THE BRONX,Bronx,M,Male,0.1181587052944259
THE BRONX,Bronx,F,Female,0.1360629827214022
%all%,%all%,M,Male,0.1200827790255957
%all%,%all%,F,Female,0.1430285621836166
