Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3184893466626275
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4034038436166938
STATEN ISLAND,Staten Island,65to74,65 to 74,0.3975653143016353
STATEN ISLAND,Staten Island,55to64,55 to 64,0.178527143505217
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1396715078227264
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1211173826342651
STATEN ISLAND,Staten Island,25to34,25 to 34,0.0916577821041734
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0439352049805771
STATEN ISLAND,Staten Island,%all%,%all%,0.1781717340902157
QUEENS,Queens,85andUp,85+,0.2324833798794353
QUEENS,Queens,75to84,75 to 84,0.2823158762028292
QUEENS,Queens,65to74,65 to 74,0.2865582116780729
QUEENS,Queens,55to64,55 to 64,0.1406405525864167
QUEENS,Queens,45to54,45 to 54,0.1151815798169136
QUEENS,Queens,35to44,35 to 44,0.1070058733436838
QUEENS,Queens,25to34,25 to 34,0.0897108062531339
QUEENS,Queens,18to24,18 to 24,0.0472911732130259
QUEENS,Queens,%all%,%all%,0.139496859127333
MANHATTAN,Manhattan,85andUp,85+,0.3791277759003318
MANHATTAN,Manhattan,75to84,75 to 84,0.4960877392582466
MANHATTAN,Manhattan,65to74,65 to 74,0.4717167602442316
MANHATTAN,Manhattan,55to64,55 to 64,0.1891017088166469
MANHATTAN,Manhattan,45to54,45 to 54,0.1475612655963265
MANHATTAN,Manhattan,35to44,35 to 44,0.135453507277573
MANHATTAN,Manhattan,25to34,25 to 34,0.1225268847862022
MANHATTAN,Manhattan,18to24,18 to 24,0.0644084323922252
MANHATTAN,Manhattan,%all%,%all%,0.1986929312195423
BROOKLYN,Brooklyn,85andUp,85+,0.1891329933307179
BROOKLYN,Brooklyn,75to84,75 to 84,0.2521165186900554
BROOKLYN,Brooklyn,65to74,65 to 74,0.2590098124551115
BROOKLYN,Brooklyn,55to64,55 to 64,0.1230020823490297
BROOKLYN,Brooklyn,45to54,45 to 54,0.1020496604213078
BROOKLYN,Brooklyn,35to44,35 to 44,0.0940790980652875
BROOKLYN,Brooklyn,25to34,25 to 34,0.0797845294346663
BROOKLYN,Brooklyn,18to24,18 to 24,0.0348846524037291
BROOKLYN,Brooklyn,%all%,%all%,0.1182498466162621
THE BRONX,Bronx,85andUp,85+,0.2465401970885487
THE BRONX,Bronx,75to84,75 to 84,0.327099502533254
THE BRONX,Bronx,65to74,65 to 74,0.3535666897454131
THE BRONX,Bronx,55to64,55 to 64,0.1986025219793285
THE BRONX,Bronx,45to54,45 to 54,0.1436792789982054
THE BRONX,Bronx,35to44,35 to 44,0.1081031141706869
THE BRONX,Bronx,25to34,25 to 34,0.0693422702911145
THE BRONX,Bronx,18to24,18 to 24,0.0315042356765437
THE BRONX,Bronx,%all%,%all%,0.1489707105806474
%all%,%all%,85andUp,85+,0.2596206507281852
%all%,%all%,75to84,75 to 84,0.3357082117007012
%all%,%all%,65to74,65 to 74,0.3336027657398841
%all%,%all%,55to64,55 to 64,0.1564082300695509
%all%,%all%,45to54,45 to 54,0.1238426319951522
%all%,%all%,35to44,35 to 44,0.109646707819292
%all%,%all%,25to34,25 to 34,0.091488233125452
%all%,%all%,18to24,18 to 24,0.0438389087855341
%all%,%all%,%all%,%all%,0.1491953159583933
