Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1735157638244821
Latino,Latino,STATEN ISLAND,Staten Island,0.0808989678260245
Black,Black,STATEN ISLAND,Staten Island,0.0870838796580834
Asian,Asian,STATEN ISLAND,Staten Island,0.1584928961080125
White,White,QUEENS,Queens,0.1449682016194015
Latino,Latino,QUEENS,Queens,0.0734663933025255
Black,Black,QUEENS,Queens,0.0711977798522808
Asian,Asian,QUEENS,Queens,0.1439509660436607
White,White,MANHATTAN,Manhattan,0.2136514842497098
Latino,Latino,MANHATTAN,Manhattan,0.112025655171739
Black,Black,MANHATTAN,Manhattan,0.1105071677007207
Asian,Asian,MANHATTAN,Manhattan,0.1429769506414075
White,White,BROOKLYN,Brooklyn,0.1288215369295296
Latino,Latino,BROOKLYN,Brooklyn,0.0668549452888719
Black,Black,BROOKLYN,Brooklyn,0.0707108254823098
Asian,Asian,BROOKLYN,Brooklyn,0.1220537984019468
White,White,THE BRONX,Bronx,0.1897229451538758
Latino,Latino,THE BRONX,Bronx,0.0839143938635192
Black,Black,THE BRONX,Bronx,0.0933464076579303
Asian,Asian,THE BRONX,Bronx,0.169192711986096
White,White,%all%,%all%,0.165830903909994
Latino,Latino,%all%,%all%,0.0827542742511917
Black,Black,%all%,%all%,0.0807161000469541
Asian,Asian,%all%,%all%,0.1399874049178196
