Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,20.865665839514744,35.76351114263278,35.76351114263278,% At Least 1 Dose
Queens,Queens,Borough,Borough,17.607089761934226,32.93241115933594,32.93241115933594,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,22.728834623847554,39.50147750602982,39.50147750602982,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,14.800438926248388,28.043321406340944,28.043321406340944,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,16.705753861770155,27.69258052411144,27.69258052411144,% At Least 1 Dose
85+,85+,Age,Age,29.367713956789505,41.5523812717254,41.5523812717254,% At Least 1 Dose
75-84,75-84,Age,Age,38.129263450894705,54.06003143793402,54.06003143793402,% At Least 1 Dose
65-74,65-74,Age,Age,38.77795477152729,58.02711482411528,58.02711482411528,% At Least 1 Dose
55-64,55-64,Age,Age,19.873575684758936,42.67780352983924,42.67780352983924,% At Least 1 Dose
45-54,45-54,Age,Age,15.40151757584718,31.40638875892799,31.40638875892799,% At Least 1 Dose
35-44,35-44,Age,Age,13.284475585492556,25.500613067395193,25.500613067395193,% At Least 1 Dose
25-34,25-34,Age,Age,10.897021565694928,20.803478333543392,20.803478333543392,% At Least 1 Dose
18-24,18-24,Age,Age,5.494764172523238,12.270268186395192,12.270268186395192,% At Least 1 Dose
Male,Male,Sex,Sex,16.358836071792293,30.11675686175278,30.11675686175278,% At Least 1 Dose
Female,Female,Sex,Sex,18.855405578088583,33.18936026694324,33.18936026694324,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,9.62366797443886,17.45203114490332,17.45203114490332,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,9.493416306196465,18.890286050474625,18.890286050474625,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,16.822620267218795,34.88102707208638,34.88102707208638,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,17.156056078204564,35.15094144079165,35.15094144079165,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,18.360180493646038,30.721216663924427,30.721216663924427,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,38.64691460105917,72.01703893928142,72.01703893928142,% At Least 1 Dose
