Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4850045440775524
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6354281190905494
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6510641033884138
STATEN ISLAND,Staten Island,55to64,55 to 64,0.467866323907455
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3252976375989528
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2539459897928144
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1876883140963241
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1219750183023596
STATEN ISLAND,Staten Island,%all%,%all%,0.3576351114217905
QUEENS,Queens,85andUp,85+,0.4140807541811937
QUEENS,Queens,75to84,75 to 84,0.5205936466803164
QUEENS,Queens,65to74,65 to 74,0.5740746197437538
QUEENS,Queens,55to64,55 to 64,0.4244731556621208
QUEENS,Queens,45to54,45 to 54,0.3141460570116669
QUEENS,Queens,35to44,35 to 44,0.2631742428376378
QUEENS,Queens,25to34,25 to 34,0.2063403716519652
QUEENS,Queens,18to24,18 to 24,0.1256023341804511
QUEENS,Queens,%all%,%all%,0.3293241115872881
MANHATTAN,Manhattan,85andUp,85+,0.5305880543446526
MANHATTAN,Manhattan,75to84,75 to 84,0.6637818364121792
MANHATTAN,Manhattan,65to74,65 to 74,0.6789262781364634
MANHATTAN,Manhattan,55to64,55 to 64,0.517218222564693
MANHATTAN,Manhattan,45to54,45 to 54,0.3856244272477674
MANHATTAN,Manhattan,35to44,35 to 44,0.3142359262662544
MANHATTAN,Manhattan,25to34,25 to 34,0.2743942482596594
MANHATTAN,Manhattan,18to24,18 to 24,0.1958019122745316
MANHATTAN,Manhattan,%all%,%all%,0.3950147750558135
BROOKLYN,Brooklyn,85andUp,85+,0.3356021969399765
BROOKLYN,Brooklyn,75to84,75 to 84,0.4577774444267352
BROOKLYN,Brooklyn,65to74,65 to 74,0.5022331302350138
BROOKLYN,Brooklyn,55to64,55 to 64,0.3602918788387842
BROOKLYN,Brooklyn,45to54,45 to 54,0.2787964762362628
BROOKLYN,Brooklyn,35to44,35 to 44,0.235171207812596
BROOKLYN,Brooklyn,25to34,25 to 34,0.200861201469659
BROOKLYN,Brooklyn,18to24,18 to 24,0.1019690418951487
BROOKLYN,Brooklyn,%all%,%all%,0.2804332140682244
THE BRONX,Bronx,85andUp,85+,0.3733623689099793
THE BRONX,Bronx,75to84,75 to 84,0.5116543760580368
THE BRONX,Bronx,65to74,65 to 74,0.578517943735965
THE BRONX,Bronx,55to64,55 to 64,0.4300199224285301
THE BRONX,Bronx,45to54,45 to 54,0.290192933753528
THE BRONX,Bronx,35to44,35 to 44,0.2042468574432384
THE BRONX,Bronx,25to34,25 to 34,0.1262563467204683
THE BRONX,Bronx,18to24,18 to 24,0.0743549074484222
THE BRONX,Bronx,%all%,%all%,0.2769258052382663
%all%,%all%,85andUp,85+,0.4155238127172541
%all%,%all%,75to84,75 to 84,0.5406003143793416
%all%,%all%,65to74,65 to 74,0.5802711482411536
%all%,%all%,55to64,55 to 64,0.4267780352983928
%all%,%all%,45to54,45 to 54,0.3140638875892799
%all%,%all%,35to44,35 to 44,0.255006130673952
%all%,%all%,25to34,25 to 34,0.2080347833354339
%all%,%all%,18to24,18 to 24,0.122702681863952
%all%,%all%,%all%,%all%,0.3215240647158878
