Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.3379561210479521
STATEN ISLAND,Staten Island,F,Female,0.3726074288487765
QUEENS,Queens,M,Male,0.3055866381375865
QUEENS,Queens,F,Female,0.3404860823948089
MANHATTAN,Manhattan,M,Male,0.3730840827905108
MANHATTAN,Manhattan,F,Female,0.4063943050209718
BROOKLYN,Brooklyn,M,Male,0.2596338043421631
BROOKLYN,Brooklyn,F,Female,0.2898087568480258
THE BRONX,Bronx,M,Male,0.2624302043796316
THE BRONX,Bronx,F,Female,0.2874118968215265
%all%,%all%,M,Male,0.3011675686175285
%all%,%all%,F,Female,0.3318936026694342
