Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.192165084001895
STATEN ISLAND,Staten Island,F,Female,0.2219098393733662
QUEENS,Queens,M,Male,0.1605012315682613
QUEENS,Queens,F,Female,0.1854532415307365
MANHATTAN,Manhattan,M,Male,0.2072625974578642
MANHATTAN,Manhattan,F,Female,0.2418027068542865
BROOKLYN,Brooklyn,M,Male,0.1338285452941714
BROOKLYN,Brooklyn,F,Female,0.1558998008580801
THE BRONX,Bronx,M,Male,0.1566154315136664
THE BRONX,Bronx,F,Female,0.1750450255547207
%all%,%all%,M,Male,0.1635883607179233
%all%,%all%,F,Female,0.1885540557808868
