COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,38.782329969035956,26588,38.78,13454,19.6245474425835,"68,557",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,30.154697717905005,9270,30.15,4664,15.1716839435069,"30,741",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,26.053340472401302,16188,26.05,8132,13.0878283124269,"62,134",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,42.052271364145696,13236,42.05,7576,24.0698102035938,"31,475",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,34.92798594787573,18374,34.93,12245,23.2770865316065,"52,605",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,32.332506306018914,15624,32.33,10238,21.1866487174233,"48,323",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,33.86299944123125,12241,33.86,7821,21.6356930503937,"36,149",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,30.33198409913337,3590,30.33,2361,19.9481377320484,"11,836",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,52.39686522297501,25618,52.40,17092,34.9585143411308,"48,892",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,51.02438965926026,25154,51.02,16953,34.3888239601431,"49,298",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,49.044706417712185,19660,49.04,13351,33.3059956959753,"40,086",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,54.042405327423246,3012,54.04,1517,27.2185686858237,"5,573",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,33.519194553073234,3770,33.52,2358,20.9650559034872,"11,247",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,29.143641290274235,6253,29.14,3074,14.3271315090841,"21,456",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,31.61131098078377,23042,31.61,10410,14.2814750156219,"72,892",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,41.33702448406533,8916,41.34,4655,21.5818583415572,"21,569",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,23.44710921740714,7176,23.45,4149,13.5565853042116,"30,605",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,32.88610272988314,12211,32.89,6947,18.7093404032838,"37,131",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,25.135362030271757,3870,25.14,2160,14.0290392727098,"15,397",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,25.148628792786194,12792,25.15,7540,14.8233787599756,"50,866",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,38.06549992111088,11720,38.07,7391,24.0052994809668,"30,789",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,22.500591134851287,5753,22.50,3402,13.3055816166807,"25,568",40.645544301933455,40.6455,-73.7445626367344,-73.7446
