Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.3167844721409264
Latino,Latino,STATEN ISLAND,Staten Island,0.2026083608254392
Black,Black,STATEN ISLAND,Staten Island,0.1892027539238017
Asian,Asian,STATEN ISLAND,Staten Island,0.4079552324312015
White,White,QUEENS,Queens,0.2860789793578554
Latino,Latino,QUEENS,Queens,0.2051340830090612
Black,Black,QUEENS,Queens,0.1719440454140061
Asian,Asian,QUEENS,Queens,0.3749851623961722
White,White,MANHATTAN,Manhattan,0.3978138597125855
Latino,Latino,MANHATTAN,Manhattan,0.2447232165493537
Black,Black,MANHATTAN,Manhattan,0.2289585908615886
Asian,Asian,MANHATTAN,Manhattan,0.3519121778389699
White,White,BROOKLYN,Brooklyn,0.2728899945117168
Latino,Latino,BROOKLYN,Brooklyn,0.182671347094413
Black,Black,BROOKLYN,Brooklyn,0.1738290565388415
Asian,Asian,BROOKLYN,Brooklyn,0.3516920098256926
White,White,THE BRONX,Bronx,0.3012126879984731
Latino,Latino,THE BRONX,Bronx,0.1752916174948722
Black,Black,THE BRONX,Bronx,0.1832364753566346
Asian,Asian,THE BRONX,Bronx,0.327706071781103
White,White,%all%,%all%,0.3198775658115102
Latino,Latino,%all%,%all%,0.1981161766491931
Black,Black,%all%,%all%,0.1821474143638978
Asian,Asian,%all%,%all%,0.3642324447241562
