Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.503584772291225
STATEN ISLAND,Staten Island,75to84,75 to 84,0.656757113329522
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6754323924644764
STATEN ISLAND,Staten Island,55to64,55 to 64,0.5012248601239983
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3542510752353052
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2766079697164296
STATEN ISLAND,Staten Island,25to34,25 to 34,0.2040668119099492
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1320072682061288
STATEN ISLAND,Staten Island,%all%,%all%,0.3808659314619192
QUEENS,Queens,85andUp,85+,0.4282211363934907
QUEENS,Queens,75to84,75 to 84,0.5403392653657738
QUEENS,Queens,65to74,65 to 74,0.5966880544913046
QUEENS,Queens,55to64,55 to 64,0.4603896306870758
QUEENS,Queens,45to54,45 to 54,0.3494592080485335
QUEENS,Queens,35to44,35 to 44,0.2929270796193265
QUEENS,Queens,25to34,25 to 34,0.2278853100540863
QUEENS,Queens,18to24,18 to 24,0.1359499610918817
QUEENS,Queens,%all%,%all%,0.3556555063275749
MANHATTAN,Manhattan,85andUp,85+,0.544674462867077
MANHATTAN,Manhattan,75to84,75 to 84,0.6772104424790982
MANHATTAN,Manhattan,65to74,65 to 74,0.695664331072284
MANHATTAN,Manhattan,55to64,55 to 64,0.5574450233904052
MANHATTAN,Manhattan,45to54,45 to 54,0.43082360665843
MANHATTAN,Manhattan,35to44,35 to 44,0.3605525927849051
MANHATTAN,Manhattan,25to34,25 to 34,0.3118284602846632
MANHATTAN,Manhattan,18to24,18 to 24,0.2155189210691755
MANHATTAN,Manhattan,%all%,%all%,0.4291769337824184
BROOKLYN,Brooklyn,85andUp,85+,0.3505100039231071
BROOKLYN,Brooklyn,75to84,75 to 84,0.475900282202492
BROOKLYN,Brooklyn,65to74,65 to 74,0.5225905262006346
BROOKLYN,Brooklyn,55to64,55 to 64,0.3906801756872627
BROOKLYN,Brooklyn,45to54,45 to 54,0.3095887813763264
BROOKLYN,Brooklyn,35to44,35 to 44,0.2689490650472365
BROOKLYN,Brooklyn,25to34,25 to 34,0.2279864947951349
BROOKLYN,Brooklyn,18to24,18 to 24,0.110211443214816
BROOKLYN,Brooklyn,%all%,%all%,0.3062821518097231
THE BRONX,Bronx,85andUp,85+,0.386405431631389
THE BRONX,Bronx,75to84,75 to 84,0.5323485672301342
THE BRONX,Bronx,65to74,65 to 74,0.6080356180919254
THE BRONX,Bronx,55to64,55 to 64,0.4762348724719668
THE BRONX,Bronx,45to54,45 to 54,0.3279481986561416
THE BRONX,Bronx,35to44,35 to 44,0.2298900255612657
THE BRONX,Bronx,25to34,25 to 34,0.1404518121207276
THE BRONX,Bronx,18to24,18 to 24,0.0822345775821015
THE BRONX,Bronx,%all%,%all%,0.302754000939797
%all%,%all%,85andUp,85+,0.4299533916775643
%all%,%all%,75to84,75 to 84,0.5587175353911265
%all%,%all%,65to74,65 to 74,0.6021424745581146
%all%,%all%,55to64,55 to 64,0.463413439725078
%all%,%all%,45to54,45 to 54,0.3499519009577983
%all%,%all%,35to44,35 to 44,0.2883888377755065
%all%,%all%,25to34,25 to 34,0.2338486445026923
%all%,%all%,18to24,18 to 24,0.1338412159523133
%all%,%all%,%all%,%all%,0.3490890296113148
