Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3267372862659839
Latino,Latino,STATEN ISLAND,Staten Island,0.2128590926201704
Black,Black,STATEN ISLAND,Staten Island,0.1975687608242876
Asian,Asian,STATEN ISLAND,Staten Island,0.4277301336133007
White,White,QUEENS,Queens,0.2980248208868837
Latino,Latino,QUEENS,Queens,0.2186197745699775
Black,Black,QUEENS,Queens,0.1793515920619038
Asian,Asian,QUEENS,Queens,0.3935047299080516
White,White,MANHATTAN,Manhattan,0.4138806837893377
Latino,Latino,MANHATTAN,Manhattan,0.258730973388493
Black,Black,MANHATTAN,Manhattan,0.2415544563387172
Asian,Asian,MANHATTAN,Manhattan,0.3751456555314736
White,White,BROOKLYN,Brooklyn,0.2880382118477954
Latino,Latino,BROOKLYN,Brooklyn,0.1938364412486382
Black,Black,BROOKLYN,Brooklyn,0.1819395907024538
Asian,Asian,BROOKLYN,Brooklyn,0.371714468249754
White,White,THE BRONX,Bronx,0.3136107560282555
Latino,Latino,THE BRONX,Bronx,0.1873584496126528
Black,Black,THE BRONX,Bronx,0.1927950213570125
Asian,Asian,THE BRONX,Bronx,0.3428645737548181
White,White,%all%,%all%,0.3339482355064532
Latino,Latino,%all%,%all%,0.2106677779470789
Black,Black,%all%,%all%,0.1909356870844994
Asian,Asian,%all%,%all%,0.3838702628878948
