Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.2287599512673477
STATEN ISLAND,Staten Island,F,Female,0.2605689449644682
QUEENS,Queens,M,Male,0.1910754553656912
QUEENS,Queens,F,Female,0.216677770906199
MANHATTAN,Manhattan,M,Male,0.2511948317492967
MANHATTAN,Manhattan,F,Female,0.2852882035257191
BROOKLYN,Brooklyn,M,Male,0.1575618312048432
BROOKLYN,Brooklyn,F,Female,0.1802726200989469
THE BRONX,Bronx,M,Male,0.184735800932924
THE BRONX,Bronx,F,Female,0.2035332232892848
%all%,%all%,M,Male,0.1948892937471152
%all%,%all%,F,Female,0.2202203003565916
