Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.3736767464614276
STATEN ISLAND,Staten Island,F,Female,0.4094588823187218
QUEENS,Queens,M,Male,0.3512002726230834
QUEENS,Queens,F,Female,0.3856876384060973
MANHATTAN,Manhattan,M,Male,0.4327461503641558
MANHATTAN,Manhattan,F,Female,0.4607579781216616
BROOKLYN,Brooklyn,M,Male,0.3040439899013862
BROOKLYN,Brooklyn,F,Female,0.3305451119607607
THE BRONX,Bronx,M,Male,0.3006375169260877
THE BRONX,Bronx,F,Female,0.3245986236631378
%all%,%all%,M,Male,0.3476241807599957
%all%,%all%,F,Female,0.3758681451744131
