Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4111885287286681
STATEN ISLAND,Staten Island,75to84,75 to 84,0.5289590571265228
STATEN ISLAND,Staten Island,65to74,65 to 74,0.533509076491138
STATEN ISLAND,Staten Island,55to64,55 to 64,0.3001965824890368
STATEN ISLAND,Staten Island,45to54,45 to 54,0.2171507822726423
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1778821779835739
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1309661768568736
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0739059214016364
STATEN ISLAND,Staten Island,%all%,%all%,0.2591700922091373
QUEENS,Queens,85andUp,85+,0.3302650913967981
QUEENS,Queens,75to84,75 to 84,0.4152502698355656
QUEENS,Queens,65to74,65 to 74,0.4469075861623472
QUEENS,Queens,55to64,55 to 64,0.2720360673169772
QUEENS,Queens,45to54,45 to 54,0.2132755090005816
QUEENS,Queens,35to44,35 to 44,0.1836918497404867
QUEENS,Queens,25to34,25 to 34,0.1431897020103065
QUEENS,Queens,18to24,18 to 24,0.0819511447703399
QUEENS,Queens,%all%,%all%,0.2337365476534716
MANHATTAN,Manhattan,85andUp,85+,0.4672117707250462
MANHATTAN,Manhattan,75to84,75 to 84,0.5910104685782326
MANHATTAN,Manhattan,65to74,65 to 74,0.5929560119054714
MANHATTAN,Manhattan,55to64,55 to 64,0.3433163602938107
MANHATTAN,Manhattan,45to54,45 to 54,0.2594850153224204
MANHATTAN,Manhattan,35to44,35 to 44,0.2235426937533311
MANHATTAN,Manhattan,25to34,25 to 34,0.1900942607222612
MANHATTAN,Manhattan,18to24,18 to 24,0.1154684706656391
MANHATTAN,Manhattan,%all%,%all%,0.2935776188639627
BROOKLYN,Brooklyn,85andUp,85+,0.265123577873676
BROOKLYN,Brooklyn,75to84,75 to 84,0.3599816240237763
BROOKLYN,Brooklyn,65to74,65 to 74,0.3881460976108599
BROOKLYN,Brooklyn,55to64,55 to 64,0.2237877753862845
BROOKLYN,Brooklyn,45to54,45 to 54,0.1820791831151859
BROOKLYN,Brooklyn,35to44,35 to 44,0.1622493617068824
BROOKLYN,Brooklyn,25to34,25 to 34,0.1357370952746676
BROOKLYN,Brooklyn,18to24,18 to 24,0.0628741728220039
BROOKLYN,Brooklyn,%all%,%all%,0.1945713720267147
THE BRONX,Bronx,85andUp,85+,0.3091619333821181
THE BRONX,Bronx,75to84,75 to 84,0.415507574669143
THE BRONX,Bronx,65to74,65 to 74,0.4611021400518538
THE BRONX,Bronx,55to64,55 to 64,0.2979099017231359
THE BRONX,Bronx,45to54,45 to 54,0.211077629912373
THE BRONX,Bronx,35to44,35 to 44,0.1514425795906216
THE BRONX,Bronx,25to34,25 to 34,0.0933833332400169
THE BRONX,Bronx,18to24,18 to 24,0.0460213181409758
THE BRONX,Bronx,%all%,%all%,0.2061637147029082
%all%,%all%,85andUp,85+,0.3435268081681923
%all%,%all%,75to84,75 to 84,0.4459742232127844
%all%,%all%,65to74,65 to 74,0.467454559366718
%all%,%all%,55to64,55 to 64,0.2773082681231843
%all%,%all%,45to54,45 to 54,0.212865253621532
%all%,%all%,35to44,35 to 44,0.179685039924145
%all%,%all%,25to34,25 to 34,0.1440447152690674
%all%,%all%,18to24,18 to 24,0.0756608591483082
%all%,%all%,%all%,%all%,0.231476200943844
