Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,155946,101088,27.089135266424364,41.789750398245225,41.789750398245225,% At Least 1 Dose
Queens,Queens,Borough,Borough,720810,446932,24.568052680075265,39.623249291447145,39.623249291447145,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,663989,424736,30.69448859592992,47.98463701763663,47.98463701763663,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,682527,408407,20.5763207344385,34.38700723032198,34.38700723032198,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,356961,231749,21.622926543225123,33.30560857564082,33.30560857564082,% At Least 1 Dose
85+,85+,Age,Age,80248,63592,35.53856643083079,44.846818451083614,44.846818451083614,% At Least 1 Dose
75-84,75-84,Age,Age,222016,176007,45.99390911035922,58.01691821942032,58.01691821942032,% At Least 1 Dose
65-74,65-74,Age,Age,451522,347579,48.35578989837151,62.816519313573316,62.816519313573316,% At Least 1 Dose
55-64,55-64,Age,Age,505304,293750,29.4066292773493,50.58480817144412,50.58480817144412,% At Least 1 Dose
45-54,45-54,Age,Age,410686,232159,22.58164921840272,39.946619303619244,39.946619303619244,% At Least 1 Dose
35-44,35-44,Age,Age,387637,216351,19.0298054544527,34.09578276480201,34.09578276480201,% At Least 1 Dose
25-34,25-34,Age,Age,409856,225771,15.216765664733883,27.623931808271085,27.623931808271085,% At Least 1 Dose
18-24,18-24,Age,Age,112964,57703,8.188646101423256,16.03074741696578,16.03074741696578,% At Least 1 Dose
Male,Male,Sex,Sex,1149309,703579,22.634722043810413,36.97422714073288,36.97422714073288,% At Least 1 Dose
Female,Female,Sex,Sex,1401712,889291,25.23320248472049,39.77290079542301,39.77290079542301,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,309635,193612,13.326402396468644,21.312318482483363,21.312318482483363,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,441879,257248,14.103583168858844,24.22595016121477,24.22595016121477,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,451069,254119,25.070799869133943,44.5014368314466,44.5014368314466,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,6700,3566,23.74020022308012,44.60441432827729,44.60441432827729,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,827322,543723,24.419236318363996,37.155999340439045,37.155999340439045,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3613,2086,51.677861447313745,89.50724516258127,89.50724516258127,% At Least 1 Dose
