Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,71138,45160,0.3075173993861583
STATEN ISLAND,Staten Island,F,Female,84619,55550,0.3456474942098663
QUEENS,Queens,M,Male,326105,198920,0.2953410514595768
QUEENS,Queens,F,Female,385496,240819,0.3311348817224935
MANHATTAN,Manhattan,M,Male,299686,186031,0.3924596299892834
MANHATTAN,Manhattan,F,Female,359552,235032,0.4240948096998769
BROOKLYN,Brooklyn,M,Male,299015,174117,0.2466725623126332
BROOKLYN,Brooklyn,F,Female,374937,227746,0.2782032323001479
THE BRONX,Bronx,M,Male,156213,100264,0.2341519572664078
THE BRONX,Bronx,F,Female,200158,131012,0.2655048835986405
%all%,%all%,M,Male,1152157,704492,0.2896000798041434
%all%,%all%,F,Female,1404762,890159,0.3223132166621839
