COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,46.34683889108426,31774,46.34683889108426,18824,27.4574461914071,"68,557",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,36.41008970404646,11193,36.41008970404646,6649,21.6287578345578,"30,741",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,32.31882443947928,20081,32.31882443947928,11437,18.4069715210559,"62,134",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,48.80681419583002,15362,48.80681419583002,10037,31.8886859838267,"31,475",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,41.24102836285861,21695,41.24102836285861,15072,28.6510615111779,"52,605",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,38.9401415233204,18817,38.9401415233204,12827,26.5443585757363,"48,323",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,40.63781241660707,14690,40.63781241660707,9978,27.6027292234789,"36,149",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,36.364584836398336,4304,36.364584836398336,3015,25.4737972308878,"11,836",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,60.318368033833856,29491,60.318368033833856,20659,42.2541509345554,"48,892",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,58.90097807648645,29037,58.90097807648645,20419,41.4195361553803,"49,298",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,56.47375706430155,22638,56.47375706430155,16026,39.9791691276834,"40,086",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,66.83531203341687,3725,66.83531203341687,2112,37.8942762455239,"5,573",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,38.32035239356648,4310,38.32035239356648,2914,25.9084702725876,"11,247",40.5061206239466,40.5061,-74.23525083514616,-74.2353
