Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,73706,48614,0.4130568586014485
STATEN ISLAND,Staten Island,F,Female,87422,59633,0.4489447833402392
QUEENS,Queens,M,Male,343543,214383,0.3930531963492287
QUEENS,Queens,F,Female,404929,259026,0.4284408341119126
MANHATTAN,Manhattan,M,Male,314080,196827,0.484165624978178
MANHATTAN,Manhattan,F,Female,375454,247487,0.510787250258918
BROOKLYN,Brooklyn,M,Male,314716,186335,0.3427988805664789
BROOKLYN,Brooklyn,F,Female,392737,242952,0.3681579965461662
THE BRONX,Bronx,M,Male,164511,107358,0.3363220715035607
THE BRONX,Bronx,F,Female,210451,139912,0.3612103688056843
%all%,%all%,M,Male,1210556,753517,0.389445941087881
%all%,%all%,F,Female,1470993,949010,0.4173871569891817
