COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,39.48095950932742,33183,39.48095950932742,20191,24.0231459920089,"84,048",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,29.271277300369096,11723,29.271277300369096,7127,17.7954784031162,"40,049",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,24.248664785359512,21026,24.248664785359512,12054,13.901522178385001,"86,710",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,41.23749492384065,15965,41.23749492384065,10591,27.3564866106105,"38,715",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,35.4331552955918,22341,35.4331552955918,15490,24.5673683151478,"63,051",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,33.212110420821574,19435,33.212110420821574,13196,22.5503992340191,"58,518",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,34.46729054382788,15154,34.46729054382788,10309,23.4474922935411,"43,966",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,30.06313508772499,4507,30.06313508772499,3205,21.3783776250629,"14,992",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,52.27516949533957,30535,52.27516949533957,21429,36.6859213072092,"58,412",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,51.423526018047696,30113,51.423526018047696,21275,36.3310037536601,"58,559",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,49.512045450608575,23454,49.512045450608575,16673,35.1971661037775,"47,370",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,55.68229819480756,3893,55.68229819480756,2245,32.1106497424462,"6,991",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,29.687185683417326,4427,29.687185683417326,3059,20.5134630687992,"14,912",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,30.071190218381005,8145,30.071190218381005,4617,17.0458790961651,"27,086",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,33.38063891412181,31575,33.38063891412181,16873,17.8378945494213,"94,591",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,43.802203071011334,11142,43.802203071011334,6722,26.4259925545986,"25,437",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,22.26387989650244,8482,22.26387989650244,5703,14.9694537903505,"38,098",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,30.565449668755317,14621,30.565449668755317,9989,20.8821747309484,"47,835",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,23.629739282842134,4736,23.629739282842134,3182,15.8762310806596,"20,043",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,24.008840437599392,16321,24.008840437599392,10513,15.4650413283795,"67,979",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,35.19088361169588,13691,35.19088361169588,9560,24.5727008493034,"38,905",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,21.220129339255607,6873,21.220129339255607,4757,14.6870588195604,"32,389",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,43.59208582878674,5088,43.59208582878674,3644,31.2204325393275,"11,672",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,30.34949964791187,14721,30.34949964791187,10100,20.8226306938326,"48,505",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,30.14186309231235,11329,30.14186309231235,7835,20.8457496096979,"37,586",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,37.55881673753373,15547,37.55881673753373,10083,24.3587540467327,"41,394",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,23.29622855020489,7494,23.29622855020489,5156,16.028203149834,"32,168",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,36.71507918707469,6822,36.71507918707469,4943,26.6025559105409,"18,581",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,34.080515744855234,7989,34.080515744855234,5449,23.2450532349126,"23,442",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,32.60802319865585,24559,32.60802319865585,16106,21.3846175185289,"75,316",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,31.24543240486446,9699,31.24543240486446,6107,19.673765923962,"31,041",40.676444415658594,40.6764,-73.84322242266497,-73.8432
14079738205464829344,Ozone Park,11416,27.64344598180552,7295,27.64344598180552,4519,17.1241579700862,"26,390",40.68421767075783,40.6842,-73.85148534986325,-73.8515
13226122797477619450,Ocean Hill-Brownsville,11212,20.33069097836469,15038,20.33069097836469,9241,12.4934110474177,"73,967",40.663205105824936,40.6632,-73.91367297533805,-73.9137
14285113515916235053,New Dorp/Todt Hill,10304,34.122866802261754,14293,34.122866802261754,9461,22.5870316110123,"41,887",40.610997855936304,40.6110,-74.09249648485172,-74.0925
7871365334414836712,Mott Haven/Port Morris,10454,23.58198511693165,8921,23.58198511693165,5468,14.454242194752,"37,830",40.803927383985425,40.8039,-73.91259257607629,-73.9126
5884942442616128710,Mott Haven,10455,24.036981902034846,10070,24.036981902034846,6337,15.126350974498,"41,894",40.81439773644144,40.8144,-73.90969324670235,-73.9097
297583840191204889,Morris Park/Pelham Bay/Westchester Square,10461,38.842858500145,19071,38.842858500145,13277,27.04192922796,"49,098",40.84548460089088,40.8455,-73.83682816075867,-73.8368
6247711691948238201,Morris Heights/Mount Hope/University Heights,10453,22.90360208894525,18020,22.90360208894525,11101,14.1094831736616,"78,678",40.851537542937415,40.8515,-73.91593074527222,-73.9159
5852721915417736773,Midwood,11230,22.233295498371696,19763,22.233295498371696,13148,14.7914471088697,"88,889",40.623672951848654,40.6237,-73.96587906716165,-73.9659
14023378437539972644,Middle Village,11379,34.03983471809084,12471,34.03983471809084,8125,22.1773440048503,"36,636",40.719725846415166,40.7197,-73.87922087991288,-73.8792
14038901105978491135,Maspeth,11378,30.590295921693333,11057,30.590295921693333,6752,18.680083030051,"36,145",40.722907983675334,40.7229,-73.92045963318517,-73.9205
2850878229969502036,Manhattan Valley/Morningside Heights/Upper West Side,10025,48.39340317421069,44338,48.39340317421069,30034,32.7810787796979,"91,620",40.800328958394,40.8003,-73.96625543325898,-73.9663
12858335072921120838,Long Island City,11109,53.98458555815472,3111,53.98458555815472,1688,29.2915398335471,"5,763",40.74558119163512,40.7456,-73.95829189233923,-73.9583
10008109472310056797,Lincoln Square,10069,51.04569897365931,3208,51.04569897365931,1957,31.1397858140434,"6,285",40.77578476904258,40.7758,-73.99112607067067,-73.9911
6421052027766357067,Lincoln Square,10023,53.27076493835201,32912,53.27076493835201,22362,36.1947267121848,"61,782",40.77569919527727,40.7757,-73.98301759070974,-73.9830
13518408187751020201,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,39.15971974222484,20679,39.15971974222484,14005,26.5211990420165,"52,807",40.573044245370184,40.5730,-74.13111792428568,-74.1311
12241881246569873691,Lenox Hill/Upper East Side,10075,61.684998899028685,14215,61.684998899028685,10081,43.7457948576229,"23,045",40.77278389700894,40.7728,-73.95475581857359,-73.9548
12041298690412720261,Lenox Hill/Upper East Side,10065,56.317227285636015,15712,56.317227285636015,11249,40.3202959353437,"27,899",40.76384107283376,40.7638,-73.96118817421443,-73.9612
6136035347793680985,Lenox Hill/Upper East Side,10021,53.54487043921172,24564,53.54487043921172,18295,39.8796370577014,"45,876",40.76546008702753,40.7655,-73.95747906346895,-73.9575
13568842172321599915,Laurelton/Rosedale,11413,21.112377608960454,9122,21.112377608960454,6319,14.6249851031595,"43,207",40.66408016462025,40.6641,-73.75057297474643,-73.7506
9614305802080270957,Kips Bay/Murray Hill/NoMad,10016,53.6041463775337,27291,53.6041463775337,17283,33.9467392855855,"50,912",40.74479999580176,40.7448,-73.97277641016387,-73.9728
4599956056429521911,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,38.19594722539266,26731,38.19594722539266,18986,27.1291105466053,"69,984",40.87792187299295,40.8779,-73.90969806175039,-73.9097
14697998743943871037,Kew Gardens Hills/Pomonok,11367,30.82650287541866,12539,30.82650287541866,8301,20.4075923414029,"40,676",40.73083824591093,40.7308,-73.82342148229684,-73.8234
1637893300889686692,Kew Gardens,11415,35.44211364704671,6689,35.44211364704671,4481,23.742878046407,"18,873",40.70939677600189,40.7094,-73.83030279545555,-73.8303
504297603486692083,Kensington/Windsor Terrace,11218,30.167880951893068,22323,30.167880951893068,13981,18.8942858750355,"73,996",40.64731709291488,40.6473,-73.97477697120239,-73.9748
2142587574702034187,Jamaica,11433,23.755595815356653,8676,23.755595815356653,6169,16.8912252864149,"36,522",40.69927658115394,40.6993,-73.78652882796163,-73.7865
8667208470702579115,Jackson Heights/Rikers Island,11370,30.795533714322936,9786,30.795533714322936,6104,19.208659083612,"31,777",40.785652326242925,40.7857,-73.88321121384428,-73.8832
15982059181251577592,Jackson Heights,11372,41.26545325586993,25041,41.26545325586993,15259,25.1455433581454,"60,683",40.750337666757154,40.7503,-73.88634940617133,-73.8863
2597243027712784715,Inwood/Washington Heights (North),10034,31.56348952644757,13333,31.56348952644757,8722,20.6477728680474,"42,242",40.86630310110243,40.8663,-73.92287666540476,-73.9229
5849118026665181117,Hunts Point,10474,18.838328388703143,2256,18.838328388703143,1448,12.0912675118981,"11,976",40.808288720417636,40.8083,-73.88884177256035,-73.8888
6913227023405428439,Hudson Square/Meatpacking District/West Village,10014,50.65919379930812,15368,50.65919379930812,9350,30.8214121566587,"30,336",40.73460135833562,40.7346,-74.00803505661187,-74.0080
9356805364938853039,Hudson Square/Little Italy/SoHo/TriBeCa,10013,49.88746496534419,14377,49.88746496534419,8509,29.5258008896232,"28,819",40.71963180060329,40.7196,-74.00400736034565,-74.0040
7533204450420038978,Hollis/Holliswood,11423,33.88741369525825,10552,33.88741369525825,7706,24.7475748612263,"31,138",40.716506651570015,40.7165,-73.77105954138645,-73.7711
2674089007412190215,Hillcrest/Jamaica Estates/Jamaica Hills,11432,39.560720339822026,24035,39.560720339822026,17389,28.6216503427986,"60,755",40.71599765832633,40.7160,-73.79330890321143,-73.7933
5943557986778385093,Hell's Kitchen/Midtown Manhattan,10036,52.83723185783833,14394,52.83723185783833,8956,32.8755209475337,"27,242",40.75925598904226,40.7593,-73.99269254598528,-73.9927
9848049560676505857,Hell's Kitchen/Midtown Manhattan,10019,51.08173700786942,22232,51.08173700786942,13627,31.3103108225187,"43,522",40.76652116514743,40.7665,-73.99040795806198,-73.9904
1344053829658389205,Hell's Kitchen/Midtown Manhattan,10018,36.130637921678485,4260,36.130637921678485,2380,20.1856615618767,"11,791",40.75724354275797,40.7572,-73.99762126573604,-73.9976
2040086214448852188,Hamilton Heights/West Harlem,10031,32.59547566048743,19239,32.59547566048743,11602,19.6565678368405,"59,024",40.825359467598275,40.8254,-73.95213436013692,-73.9521
5821409775058227380,Hamilton Beach/Howard Beach/Lindenwood,11414,30.26616911182038,8583,30.26616911182038,6003,21.1683342861771,"28,358",40.655357369855885,40.6554,-73.84741468386446,-73.8474
2188205222476189661,Greenwich Village/SoHo,10012,45.861995797996634,10618,45.861995797996634,6339,27.3798447319175,"23,152",40.72532714914477,40.7253,-73.99828025686872,-73.9983
1276903058674644194,Greenpoint,11222,45.13969597875571,16306,45.13969597875571,8652,23.9512234519928,"36,123",40.732710568202016,40.7327,-73.94772475132561,-73.9477
8052967789995192660,Great Kills,10308,33.69131450460644,10047,33.69131450460644,6918,23.1986178702964,"29,821",40.54375345479274,40.5438,-74.14337697566305,-74.1434
1226563181018629970,Gravesend/Homecrest,11223,25.327750206287725,20640,25.327750206287725,12721,15.6101894561137,"81,492",40.59497337603157,40.5950,-73.97338889646544,-73.9734
15062144985260141127,Graniteville/Mariner's Harbor/Port Ivory,10303,25.866955364470932,6858,25.866955364470932,4143,15.6265377770491,"26,513",40.63998115388839,40.6400,-74.1749064588237,-74.1749
1975268528569283706,Gowanus/Park Slope/Windsor Terrace,11215,45.66935698032451,31797,45.66935698032451,19097,27.4286162296209,"69,624",40.665060849722735,40.6651,-73.98713189689084,-73.9871
11728784118057846679,Glendale/Ridgewood,11385,27.30391228687874,28291,27.30391228687874,16684,16.1018865573605,"103,615",40.702914746129274,40.7029,-73.88796183776728,-73.8880
5300398451044121207,Gerritsen Beach/Homecrest/Sheepshead Bay,11229,28.21690897164959,23570,28.21690897164959,15661,18.7486216124312,"83,531",40.592591816696896,40.5926,-73.93102293435037,-73.9310
16558769320244644509,Fresh Meadows/Hillcrest,11366,36.87323461292401,5239,36.87323461292401,3570,25.1264454224353,"14,208",40.72686004102343,40.7269,-73.78315823337884,-73.7832
2069792849576935000,Forest Hills,11375,40.19138468498124,28643,40.19138468498124,19105,26.8078205637177,"71,267",40.72297405344856,40.7230,-73.84418195812574,-73.8442
14110631317039195668,Fordham/Kingsbridge/University Heights,10468,24.374317396098014,18966,24.374317396098014,11747,15.0967576954531,"77,811",40.867959355731095,40.8680,-73.90275470151684,-73.9028
1796791447416200226,Flushing/Murray Hill/Queensboro Hill,11355,44.98376545595744,35471,44.98376545595744,19780,25.0846855380124,"78,853",40.74814633229538,40.7481,-73.82283331503541,-73.8228
13627776600523588151,Flushing/Murray Hill,11354,45.06402139752599,24298,45.06402139752599,14620,27.1148239703609,"53,919",40.76861583294839,40.7686,-73.83700150248836,-73.8370
12322775813457235741,Flatlands/Midwood,11210,21.160958471803703,13900,21.160958471803703,9337,14.2143790828224,"65,687",40.62655887222889,40.6266,-73.94615699606153,-73.9462
6118710961472576396,Flatiron/Gramercy/Kips Bay,10010,47.270111587872115,15766,47.270111587872115,10133,30.3810757782512,"33,353",40.73775576335703,40.7378,-73.97599091185998,-73.9760
11328094199542994609,Flatbush/Prospect Lefferts Gardens,11226,26.374587604257506,25677,26.374587604257506,15906,16.3381310290657,"97,355",40.6451447748454,40.6451,-73.95759499032192,-73.9576
6402386507838947620,Financial District,10006,50.97877666689365,1724,50.97877666689365,877,25.9329391745161,"3,382",40.7088105591395,40.7088,-74.01393757411763,-74.0139
17162405344876578437,Financial District,10005,46.612935155188026,4082,46.612935155188026,1951,22.2787448524674,"8,757",40.705994121731095,40.7060,-74.0086809434999,-74.0087
13626678536658579648,Financial District,10004,67.12389551549799,1995,67.12389551549799,1125,37.8518207794161,"2,972",40.70208588741524,40.7021,-74.01276251954427,-74.0128
1350034078683374798,Fieldston/North Riverdale/Riverdale,10471,46.73966565558768,9928,46.73966565558768,7577,35.6714793183308,"21,241",40.89770404077458,40.8977,-73.90396236432697,-73.9040
15018623739585943687,Elmhurst,11373,41.82063810951986,38331,41.82063810951986,22926,25.0131733922635,"91,656",40.736761120710185,40.7368,-73.87877667649306,-73.8788
5857047755166378474,Elm Park,10302,28.29866718023798,5231,28.29866718023798,3268,17.6792285117603,"18,485",40.630931606306476,40.6309,-74.13912004653977,-74.1391
2682952550991094888,Edgemere/Far Rockaway,11691,17.684195536916324,11823,17.684195536916324,8189,12.2486574686465,"66,856",40.602370082183434,40.6024,-73.76774794637974,-73.7677
13013986920525830455,Edenwald/Wakefield,10466,21.724829806098864,15492,21.724829806098864,10352,14.5168756876282,"71,310",40.893420110810986,40.8934,-73.84301458324927,-73.8430
