Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,176889,120980,25.40833321082112,37.15039389427126,37.15039389427126,% At Least 1 Dose
Queens,Queens,Borough,Borough,863247,559605,24.670349642986242,38.056495775160954,38.056495775160954,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,784224,513455,31.86350826194959,48.6666366151253,48.6666366151253,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,815988,509743,19.912590437763704,31.875739041301067,31.875739041301067,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,417770,290468,20.44080160734366,29.39929247800088,29.39929247800088,% At Least 1 Dose
85+,85+,Age,Age,85230,70926,39.63719277068034,47.63102303591188,47.63102303591188,% At Least 1 Dose
75-84,75-84,Age,Age,234546,195920,51.19754710268102,61.291240724507055,61.291240724507055,% At Least 1 Dose
65-74,65-74,Age,Age,480082,393430,54.73466009084641,66.78983576680407,66.78983576680407,% At Least 1 Dose
55-64,55-64,Age,Age,569032,385658,38.60732539180928,56.96447002876128,56.96447002876128,% At Least 1 Dose
45-54,45-54,Age,Age,488543,298198,29.005132834088943,47.51961653050763,47.51961653050763,% At Least 1 Dose
35-44,35-44,Age,Age,477280,276077,24.283186120928203,41.98060349756268,41.98060349756268,% At Least 1 Dose
25-34,25-34,Age,Age,531810,289969,19.543654069996677,35.843523517910306,35.843523517910306,% At Least 1 Dose
18-24,18-24,Age,Age,173901,81311,11.538862852067073,24.67833120779865,24.67833120779865,% At Least 1 Dose
<18,<18,Age,Age,17694,2762,0.1620775810410151,1.0383058359665902,1.0383058359665902,% At Least 1 Dose
Male,Male,Sex,Sex,1374670,877206,22.048985303623798,34.55297686898234,34.55297686898234,% At Least 1 Dose
Female,Female,Sex,Sex,1648692,1092018,25.05562039925653,37.82813186897197,37.82813186897197,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,563400,329973,26.74787337007008,45.66965132510079,45.66965132510079,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,361965,239411,13.112318221451075,19.82448703287459,19.82448703287459,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,539108,334740,13.81174208508865,22.244191468028834,22.244191468028834,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7977,4569,24.220737913486005,42.286895674300254,42.286895674300254,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,953766,652493,24.328815768672055,35.56206319519637,35.56206319519637,% At Least 1 Dose
