Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2111,2111
2020-12-16,12/16,6620,6620
2020-12-17,12/17,11109,11109
2020-12-18,12/18,16887,16887
2020-12-19,12/19,18572,18572
2020-12-20,12/20,19676,19676
2020-12-21,12/21,25946,25946
2020-12-22,12/22,35662,35662
2020-12-23,12/23,49887,49887
2020-12-24,12/24,57122,57122
2020-12-25,12/25,57301,57301
2020-12-26,12/26,61649,61649
2020-12-27,12/27,65486,65486
2020-12-28,12/28,76430,76430
2020-12-29,12/29,87101,87101
2020-12-30,12/30,99896,99896
2020-12-31,12/31,107130,107130
2021-01-01,1/1,107294,107294
2021-01-02,1/2,111099,111099
2021-01-03,1/3,114640,114640
2021-01-04,1/4,127603,127603
2021-01-05,1/5,143623,143623
2021-01-06,1/6,165125,165125
2021-01-07,1/7,186555,186555
2021-01-08,1/8,208345,208345
2021-01-09,1/9,217429,217429
2021-01-10,1/10,226205,226205
2021-01-11,1/11,259111,259111
2021-01-12,1/12,294732,294732
2021-01-13,1/13,335530,335530
2021-01-14,1/14,376241,376241
2021-01-15,1/15,408599,408599
2021-01-16,1/16,440884,440884
2021-01-17,1/17,466130,466130
2021-01-18,1/18,495203,495203
2021-01-19,1/19,538411,538411
2021-01-20,1/20,582248,582248
2021-01-21,1/21,615310,615310
2021-01-22,1/22,643800,643800
2021-01-23,1/23,662289,662289
2021-01-24,1/24,672629,672629
2021-01-25,1/25,696651,696651
2021-01-26,1/26,723512,723512
2021-01-27,1/27,755971,755971
2021-01-28,1/28,797795,797795
2021-01-29,1/29,840376,840376
2021-01-30,1/30,862308,862308
2021-01-31,1/31,877917,877917
2021-02-01,2/1,884241,884241
2021-02-02,2/2,896192,896192
2021-02-03,2/3,932767,932767
2021-02-04,2/4,978494,978494
2021-02-05,2/5,1025055,1025055
2021-02-06,2/6,1058715,1058715
2021-02-07,2/7,1078728,1078728
2021-02-08,2/8,1118352,1118352
2021-02-09,2/9,1162952,1162952
2021-02-10,2/10,1210806,1210806
2021-02-11,2/11,1271160,1271160
2021-02-12,2/12,1338951,1338951
2021-02-13,2/13,1391127,1391127
2021-02-14,2/14,1430583,1430583
2021-02-15,2/15,1453090,1453090
2021-02-16,2/16,1493038,1493038
2021-02-17,2/17,1530400,1530400
2021-02-18,2/18,1566400,1566400
2021-02-19,2/19,1602750,1602750
2021-02-20,2/20,1639688,1639688
2021-02-21,2/21,1663304,1663304
2021-02-22,2/22,1687464,1687464
2021-02-23,2/23,1726030,1726030
2021-02-24,2/24,1781617,1781617
2021-02-25,2/25,1865131,1865131
2021-02-26,2/26,1958226,1958226
2021-02-27,2/27,2031309,2031309
2021-02-28,2/28,2089168,2089168
2021-03-01,3/1,2139790,2139790
2021-03-02,3/2,2197988,2197988
2021-03-03,3/3,2261240,2261240
2021-03-04,3/4,2343156,2343156
2021-03-05,3/5,2429277,2429277
2021-03-06,3/6,2499456,2499456
2021-03-07,3/7,2555760,2555760
2021-03-08,3/8,2617447,2617447
2021-03-09,3/9,2675522,2675522
2021-03-10,3/10,2745678,2745678
2021-03-11,3/11,2829509,2829509
2021-03-12,3/12,2913607,2913607
2021-03-13,3/13,2984602,2984602
2021-03-14,3/14,3034393,3034393
2021-03-15,3/15,3088239,3088239
2021-03-16,3/16,3150194,3150194
2021-03-17,3/17,3220007,3220007
2021-03-18,3/18,3300532,3300532
2021-03-19,3/19,3381392,3381392
2021-03-20,3/20,3448308,3448308
2021-03-21,3/21,3496409,3496409
2021-03-22,3/22,3559133,3559133
2021-03-23,3/23,3632417,3632417
2021-03-24,3/24,3713979,3713979
2021-03-25,3/25,3809959,3809959
2021-03-26,3/26,3904934,3904934
2021-03-27,3/27,3986492,3986492
2021-03-28,3/28,4046779,4046779
2021-03-29,3/29,4121149,4121149
2021-03-30,3/30,4204431,4204431
2021-03-31,3/31,4302904,4302904
2021-04-01,4/1,4414747,4414747
2021-04-02,4/2,4520874,4520874
2021-04-03,4/3,4605657,4605657
2021-04-04,4/4,4657315,4657315
2021-04-05,4/5,4740457,4740457
2021-04-06,4/6,4835802,4835802
2021-04-07,4/7,4937596,4937596
2021-04-08,4/8,5051359,5051359
2021-04-09,4/9,5163221,5163221
2021-04-10,4/10,5255628,5255628
2021-04-11,4/11,5306128,5306128
2021-04-12,4/12,5371721,5371721
2021-04-13,4/13,5437144,5437144
2021-04-14,4/14,5509720,5509720
2021-04-15,4/15,5587783,5587783
2021-04-16,4/16,5662190,5662190
2021-04-17,4/17,5719876,5719876
2021-04-18,4/18,5746378,5746378
