Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,83470,57547,0.2487658323606969
STATEN ISLAND,Staten Island,F,Female,97701,69588,0.2842496109275243
QUEENS,Queens,M,Male,418495,266883,0.2417059101721416
QUEENS,Queens,F,Female,484994,318688,0.2737478811359339
MANHATTAN,Manhattan,M,Male,371147,239060,0.3130656725547342
MANHATTAN,Manhattan,F,Female,436226,294062,0.346848767160147
BROOKLYN,Brooklyn,M,Male,382845,231439,0.1909257099111199
BROOKLYN,Brooklyn,F,Female,466618,297305,0.2206002927931772
THE BRONX,Bronx,M,Male,190536,132309,0.1983215949630386
THE BRONX,Bronx,F,Female,239624,170577,0.2262663822060837
%all%,%all%,M,Male,1446493,927238,0.2330656315045904
%all%,%all%,F,Female,1725163,1150220,0.2639102624282101
