Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2488658434705366
Latino,Latino,STATEN ISLAND,Staten Island,0.1371420835307656
Black,Black,STATEN ISLAND,Staten Island,0.1341509814014906
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.310373800730797
White,White,QUEENS,Queens,0.245815108500179
Latino,Latino,QUEENS,Queens,0.1604144164711226
Black,Black,QUEENS,Queens,0.1401807638796301
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3082333513280833
White,White,MANHATTAN,Manhattan,0.3501461819456836
Latino,Latino,MANHATTAN,Manhattan,0.20254013615572
Black,Black,MANHATTAN,Manhattan,0.1870034402122754
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3100759908235879
White,White,BROOKLYN,Brooklyn,0.2087067657670292
Latino,Latino,BROOKLYN,Brooklyn,0.1400784404532758
Black,Black,BROOKLYN,Brooklyn,0.1340225025176631
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.2742415954237845
White,White,THE BRONX,Bronx,0.2625905355605887
Latino,Latino,THE BRONX,Bronx,0.1363773980840267
Black,Black,THE BRONX,Bronx,0.1427811998899613
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2607552678043824
White,White,%all%,%all%,0.2636597046356865
Latino,Latino,%all%,%all%,0.1546090716664122
Black,Black,%all%,%all%,0.143180593346215
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.297580659543044
