Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3330278366250604
Latino,Latino,STATEN ISLAND,Staten Island,0.2294726866580925
Black,Black,STATEN ISLAND,Staten Island,0.2123945301134711
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5266428278328156
White,White,QUEENS,Queens,0.3481918557575713
Latino,Latino,QUEENS,Queens,0.2794295932042831
Black,Black,QUEENS,Queens,0.2109854053129339
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5107354176394642
White,White,MANHATTAN,Manhattan,0.5048539986341304
Latino,Latino,MANHATTAN,Manhattan,0.3147905574611144
Black,Black,MANHATTAN,Manhattan,0.2881339722151474
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5670924311380652
White,White,BROOKLYN,Brooklyn,0.3227592991581569
Latino,Latino,BROOKLYN,Brooklyn,0.2417388391888009
Black,Black,BROOKLYN,Brooklyn,0.2106804132385693
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5054873950893206
White,White,THE BRONX,Bronx,0.3479199582830711
Latino,Latino,THE BRONX,Bronx,0.210415598089407
Black,Black,THE BRONX,Bronx,0.2075221456471109
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3937739420861625
White,White,%all%,%all%,0.3823136374076428
Latino,Latino,%all%,%all%,0.2531051044112247
Black,Black,%all%,%all%,0.2185581713264193
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5138095168614556
