Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,325800,0.1062243629391088,0.1062243629391088
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4744,0.0015467414910471,0.0015467414910471
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,8995,0.002932744458678,0.002932744458678
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,408442,0.1331690952964257,0.1331690952964257
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,629985,0.20540133605339,0.20540133605339
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,646745,0.2108657937662797,0.2108657937662797
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1042382,0.3398599259950709,0.3398599259950709
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,61803,0.1083343266419391,0.1083343266419391
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,807,0.0014145883144838,0.0014145883144838
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1391,0.0024382804776295,0.0024382804776295
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,44414,0.0778531913252607,0.0778531913252607
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,66630,0.1167955630657477,0.1167955630657477
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,74628,0.1308152375877325,0.1308152375877325
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,320811,0.5623488125872068,0.5623488125872068
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,239991,0.1046155039888336,0.1046155039888336
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3741,0.0016307553217505,0.0016307553217505
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,6673,0.0029088559909225,0.0029088559909225
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,281861,0.1228672348954612,0.1228672348954612
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,488520,0.2129528441009246,0.2129528441009246
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,516098,0.2249744881167588,0.2249744881167588
18 to 64 years,18 to 64 years,White,White,NYC,NYC,757145,0.3300503175853488,0.3300503175853488
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,44420,0.1051978439415326,0.1051978439415326
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,662,0.0015677841668009,0.0015677841668009
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1035,0.0024511429193941,0.0024511429193941
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,35386,0.083803037048966,0.083803037048966
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,56249,0.1332119208434774,0.1332119208434774
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,61178,0.1448850449494615,0.1448850449494615
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,223322,0.5288832261303676,0.5288832261303676
65+ years,65+ years,Other,Other,NYC,NYC,83220,0.11035144854509,0.11035144854509
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,963,0.0012769580022701,0.0012769580022701
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2149,0.0028496186364263,0.0028496186364263
65+ years,65+ years,Black,Black,NYC,NYC,124551,0.1651572130225848,0.1651572130225848
65+ years,65+ years,Latino,Latino,NYC,NYC,137640,0.1825134988914466,0.1825134988914466
65+ years,65+ years,Asian,Asian,NYC,NYC,125261,0.1660986877698453,0.1660986877698453
65+ years,65+ years,White,White,NYC,NYC,280352,0.3717525751323369,0.3717525751323369
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,17080,0.1178792772647591,0.1178792772647591
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,138,0.0009524203900783,0.0009524203900783
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,346,0.0023879525722252,0.0023879525722252
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8857,0.0611274448907477,0.0611274448907477
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9857,0.0680290419203004,0.0680290419203004
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12903,0.0890513064723177,0.0890513064723177
65+ years,65+ years,White,White,Non- NYC,Non- NYC,95713,0.6605725564895718,0.6605725564895718
