Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,86923,62691,0.3513275380916534
STATEN ISLAND,Staten Island,F,Female,100981,74934,0.3848142160419286
QUEENS,Queens,M,Male,456346,299111,0.3422178144023139
QUEENS,Queens,F,Female,524137,354146,0.3747091654028173
MANHATTAN,Manhattan,M,Male,389947,266828,0.411324966192299
MANHATTAN,Manhattan,F,Female,455038,322946,0.4393526219513349
BROOKLYN,Brooklyn,M,Male,412797,262140,0.2855313951362396
BROOKLYN,Brooklyn,F,Female,498424,331211,0.3104825320610287
THE BRONX,Bronx,M,Male,203642,145083,0.2966039662998285
THE BRONX,Bronx,F,Female,254581,186397,0.3199249664495447
%all%,%all%,M,Male,1549655,1035853,0.3332425318727137
%all%,%all%,F,Female,1833161,1269634,0.3602525135583941
