COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,33.1334044666169,43314,51.534770219299276,27848,33.1334044666169,"84,048",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,24.866727854165,16011,39.97802788161815,9959,24.866727854165,"40,049",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,19.4060821051672,27756,32.01017501105482,16827,19.4060821051672,"86,710",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,36.4796204703665,19862,51.303421495604326,14123,36.4796204703665,"38,715",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,30.3912144386612,26653,42.27205085239731,19162,30.3912144386612,"63,051",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,28.2717342321622,23639,40.39624791550301,16544,28.2717342321622,"58,518",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,29.6249478245584,18129,41.233833329091695,13025,29.6249478245584,"43,966",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,28.3822142885001,5655,37.72066317308294,4255,28.3822142885001,"14,992",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,46.1291777321737,36012,61.651658878865845,26945,46.1291777321737,"58,412",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,45.34245883277,35553,60.71333379336663,26552,45.34245883277,"58,559",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,43.8629351229106,27710,58.49657966386814,20778,43.8629351229106,"47,370",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,45.412611551121,4825,69.01286637296337,3175,45.412611551121,"6,991",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,24.577261244573,5032,33.744277921607406,3665,24.577261244573,"14,912",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,24.0901800092002,10905,40.26105946365192,6525,24.0901800092002,"27,086",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,25.7868739316947,44734,47.292145722385584,24392,25.7868739316947,"94,591",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,36.9106879046603,14224,55.91837520032895,9389,36.9106879046603,"25,437",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,19.675789165784302,11023,28.93359444696374,7496,19.675789165784302,"38,098",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,27.0471094873371,19381,40.516310787917845,12938,27.0471094873371,"47,835",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,20.9654063485014,6488,32.371146213488124,4202,20.9654063485014,"20,043",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,20.9373093528799,20483,30.131308049957006,14233,20.9373093528799,"67,979",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,30.5924984841432,15989,41.09758513384014,11902,30.5924984841432,"38,905",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,19.7628470683217,9183,28.35216757200411,6401,19.7628470683217,"32,389",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,37.4233944379206,6224,53.32491002326428,4368,37.4233944379206,"11,672",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,26.7519263250665,20447,42.15448809869262,12976,26.7519263250665,"48,505",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,26.5952920355507,15124,40.23881520064718,9996,26.5952920355507,"37,586",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,32.512160265886,19954,48.205353391699234,13458,32.512160265886,"41,394",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,20.660092733475,9690,30.12282554730256,6646,20.660092733475,"32,168",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,34.1748391729587,9067,48.79736484743568,6350,34.1748391729587,"18,581",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,28.6414548392738,9360,39.92910594215108,6714,28.6414548392738,"23,442",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,28.539820784849,30002,39.834924549292424,21495,28.539820784849,"75,316",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,26.6483366174904,13140,42.33065076811208,8272,26.6483366174904,"31,041",40.676444415658594,40.6764,-73.84322242266497,-73.8432
