Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4111051974111016
Latino,Latino,STATEN ISLAND,Staten Island,0.3332851389160194
Black,Black,STATEN ISLAND,Staten Island,0.2866771546077555
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6650203419421408
White,White,QUEENS,Queens,0.4238528126073501
Latino,Latino,QUEENS,Queens,0.3895008239099953
Black,Black,QUEENS,Queens,0.272139586510896
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6446983019313663
White,White,MANHATTAN,Manhattan,0.5773710384315036
Latino,Latino,MANHATTAN,Manhattan,0.3986781100899585
Black,Black,MANHATTAN,Manhattan,0.3527860060369344
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6539596206652788
White,White,BROOKLYN,Brooklyn,0.4262968825457924
Latino,Latino,BROOKLYN,Brooklyn,0.3354122707421747
Black,Black,BROOKLYN,Brooklyn,0.2735403340111478
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6545495900544221
White,White,THE BRONX,Bronx,0.4237910400022916
Latino,Latino,THE BRONX,Bronx,0.2958631731365619
Black,Black,THE BRONX,Bronx,0.2770653830271211
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5104318814709398
White,White,%all%,%all%,0.4703052855999768
Latino,Latino,%all%,%all%,0.3482841837033306
Black,Black,%all%,%all%,0.2834059642343446
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6435868287171524
