COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,47.5823072784685,46412,67.6984165233525,32621,47.5823072784685,"68,557",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,38.6871434691526,17163,55.8301053864513,11893,38.6871434691526,"30,741",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,32.9609842398554,29492,47.465104843838596,20480,32.9609842398554,"62,134",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,51.3643903856258,20844,66.2237491926755,16167,51.3643903856258,"31,475",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,42.0052087455214,27694,52.64480476980901,22097,42.0052087455214,"52,605",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,40.1031515427765,24709,51.13312201199574,19379,40.1031515427765,"48,323",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,41.6447670605584,19003,52.56911840386549,15054,41.6447670605584,"36,149",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,40.6989324249374,6064,51.23486116355006,4817,40.6989324249374,"11,836",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,62.3084589801199,36879,75.42915108744224,30464,62.3084589801199,"48,892",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,60.8746892611275,36522,74.08415198916686,30010,60.8746892611275,"49,298",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,58.0852972650056,28377,70.79052055012302,23284,58.0852972650056,"40,086",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,68.2348165538481,4985,89.442692748076,3803,68.2348165538481,"5,573",40.713194568962514,40.7132,-74.00729622101159,-74.0073
