Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5825,5169,0.521963041502575
STATEN ISLAND,Staten Island,75to84,75 to 84,16870,15194,0.6681912133339198
STATEN ISLAND,Staten Island,65to74,65 to 74,36205,32389,0.6941640412353458
STATEN ISLAND,Staten Island,55to64,55 to 64,43556,36664,0.5544231060033268
STATEN ISLAND,Staten Island,45to54,45 to 54,34137,27150,0.423081717883189
STATEN ISLAND,Staten Island,35to44,35 to 44,26930,20615,0.3483793557981546
STATEN ISLAND,Staten Island,25to34,25 to 34,23191,17021,0.262998501212936
STATEN ISLAND,Staten Island,18to24,18 to 24,13365,8441,0.2127694005972758
STATEN ISLAND,Staten Island,<18,<18,2489,1247,0.0121097421927776
STATEN ISLAND,Staten Island,%all%,%all%,202568,163890,0.3442033170707117
QUEENS,Queens,85andUp,85+,28060,24349,0.4716495431331752
QUEENS,Queens,75to84,75 to 84,73312,64376,0.5865915775242336
QUEENS,Queens,65to74,65 to 74,157008,136549,0.6542037926574796
QUEENS,Queens,55to64,55 to 64,212503,168375,0.5579330641504584
QUEENS,Queens,45to54,45 to 54,192221,140837,0.4672050965316282
QUEENS,Queens,35to44,35 to 44,181303,127326,0.4125800148186987
QUEENS,Queens,25to34,25 to 34,176875,119106,0.3285699658544209
QUEENS,Queens,18to24,18 to 24,75070,40345,0.2309043184411875
QUEENS,Queens,<18,<18,13907,4803,0.010693032356775
QUEENS,Queens,%all%,%all%,1110259,826066,0.3641736054524532
MANHATTAN,Manhattan,85andUp,85+,24810,22464,0.5640589679995398
MANHATTAN,Manhattan,75to84,75 to 84,64474,59500,0.6947844008536312
MANHATTAN,Manhattan,65to74,65 to 74,116518,106895,0.723207020442424
MANHATTAN,Manhattan,55to64,55 to 64,134861,114903,0.6318769781649806
MANHATTAN,Manhattan,45to54,45 to 54,129194,104646,0.5417378683550794
MANHATTAN,Manhattan,35to44,35 to 44,145326,114210,0.492397513087135
MANHATTAN,Manhattan,25to34,25 to 34,216054,160502,0.4464125045276149
MANHATTAN,Manhattan,18to24,18 to 24,78603,50176,0.3484750381402085
MANHATTAN,Manhattan,<18,<18,9713,5137,0.0225636695096167
MANHATTAN,Manhattan,%all%,%all%,919553,738433,0.4582498173401068
BROOKLYN,Brooklyn,85andUp,85+,22539,18808,0.3689289917614751
BROOKLYN,Brooklyn,75to84,75 to 84,62525,53549,0.5020485463290238
BROOKLYN,Brooklyn,65to74,65 to 74,136690,116578,0.5544917072149846
BROOKLYN,Brooklyn,55to64,55 to 64,165479,129583,0.4535076206974994
BROOKLYN,Brooklyn,45to54,45 to 54,156496,116043,0.392878665790917
BROOKLYN,Brooklyn,35to44,35 to 44,178730,131675,0.3678216466565732
BROOKLYN,Brooklyn,25to34,25 to 34,214715,152153,0.3237015494393043
BROOKLYN,Brooklyn,18to24,18 to 24,67120,36702,0.1765981396581609
BROOKLYN,Brooklyn,<18,<18,10192,3976,0.0069140224734405
BROOKLYN,Brooklyn,%all%,%all%,1014486,759067,0.2965217822706564
THE BRONX,Bronx,85andUp,85+,13102,11342,0.426323969412764
THE BRONX,Bronx,75to84,75 to 84,37348,32971,0.5695393799125432
THE BRONX,Bronx,65to74,65 to 74,78957,68797,0.6529670233655962
THE BRONX,Bronx,55to64,55 to 64,111784,90732,0.5551668009189856
THE BRONX,Bronx,45to54,45 to 54,94410,71507,0.4111109680814964
THE BRONX,Bronx,35to44,35 to 44,76097,54392,0.3035436779707813
THE BRONX,Bronx,25to34,25 to 34,62529,42831,0.1887631103876144
THE BRONX,Bronx,18to24,18 to 24,32683,18193,0.1313976523758275
THE BRONX,Bronx,<18,<18,5430,1879,0.0053801595028099
THE BRONX,Bronx,%all%,%all%,512340,392644,0.2763112668609749
%all%,%all%,85andUp,85+,94336,82132,0.4589969710178944
%all%,%all%,75to84,75 to 84,254529,225590,0.5895087102334544
%all%,%all%,65to74,65 to 74,525378,461208,0.6416405233759278
%all%,%all%,55to64,55 to 64,668183,540257,0.540838717055078
%all%,%all%,45to54,45 to 54,606458,460183,0.4476109512132728
%all%,%all%,35to44,35 to 44,608386,448218,0.3942436753786153
%all%,%all%,25to34,25 to 34,693364,491613,0.3313428127942393
%all%,%all%,18to24,18 to 24,266841,153857,0.2183388252303483
%all%,%all%,<18,<18,41731,17042,0.0100004566839282
%all%,%all%,%all%,%all%,3759206,2880100,0.3454675807325506
