Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5834,5194,0.5891144097748158
STATEN ISLAND,Staten Island,75to84,75 to 84,16896,15274,0.7430405910550156
STATEN ISLAND,Staten Island,65to74,65 to 74,36282,32603,0.7775991770076512
STATEN ISLAND,Staten Island,55to64,55 to 64,43769,37097,0.6618629971268714
STATEN ISLAND,Staten Island,45to54,45 to 54,34346,27686,0.535217852022689
STATEN ISLAND,Staten Island,35to44,35 to 44,27116,21099,0.4582417953831074
STATEN ISLAND,Staten Island,25to34,25 to 34,23380,17536,0.3612540366816545
STATEN ISLAND,Staten Island,18to24,18 to 24,13531,8811,0.3410712900701029
STATEN ISLAND,Staten Island,<18,<18,2532,1402,0.0245885062005718
STATEN ISLAND,Staten Island,%all%,%all%,203686,166702,0.4277832499900237
QUEENS,Queens,85andUp,85+,28112,24464,0.544540307879577
QUEENS,Queens,75to84,75 to 84,73481,64747,0.6695559790614236
QUEENS,Queens,65to74,65 to 74,157452,137482,0.7543496881083382
QUEENS,Queens,55to64,55 to 64,213495,170587,0.707444213991401
QUEENS,Queens,45to54,45 to 54,193532,143620,0.6420126581932238
QUEENS,Queens,35to44,35 to 44,182875,130672,0.592577872625933
QUEENS,Queens,25to34,25 to 34,178347,122866,0.491994254699498
QUEENS,Queens,18to24,18 to 24,75989,42624,0.4349036622636608
QUEENS,Queens,<18,<18,14195,5444,0.0316026638152034
QUEENS,Queens,%all%,%all%,1117478,842506,0.4926434356017516
MANHATTAN,Manhattan,85andUp,85+,24850,22521,0.6239701457794056
MANHATTAN,Manhattan,75to84,75 to 84,64538,59629,0.75361337247549
MANHATTAN,Manhattan,65to74,65 to 74,116703,107235,0.7895638608605848
MANHATTAN,Manhattan,55to64,55 to 64,135262,115893,0.7438356163072468
MANHATTAN,Manhattan,45to54,45 to 54,129745,106280,0.6716719198987996
MANHATTAN,Manhattan,35to44,35 to 44,146087,116508,0.6298299228995734
MANHATTAN,Manhattan,25to34,25 to 34,217147,165198,0.6039621694474712
MANHATTAN,Manhattan,18to24,18 to 24,79220,52450,0.5501871915152128
MANHATTAN,Manhattan,<18,<18,9844,5573,0.0432386144934139
MANHATTAN,Manhattan,%all%,%all%,923396,751287,0.5730324190990724
BROOKLYN,Brooklyn,85andUp,85+,22615,18929,0.4436053354256571
BROOKLYN,Brooklyn,75to84,75 to 84,62728,53851,0.588106243144167
BROOKLYN,Brooklyn,65to74,65 to 74,137160,117393,0.652387951085173
BROOKLYN,Brooklyn,55to64,55 to 64,166352,131293,0.582189791240135
BROOKLYN,Brooklyn,45to54,45 to 54,157515,118298,0.5332875144735684
BROOKLYN,Brooklyn,35to44,35 to 44,179932,134623,0.5026230076036494
BROOKLYN,Brooklyn,25to34,25 to 34,216031,156999,0.4596003327369316
BROOKLYN,Brooklyn,18to24,18 to 24,67934,38651,0.3268764105372325
BROOKLYN,Brooklyn,<18,<18,10385,4397,0.0180588841515794
BROOKLYN,Brooklyn,%all%,%all%,1020652,774434,0.3987072947685909
THE BRONX,Bronx,85andUp,85+,13119,11388,0.4931179822541044
THE BRONX,Bronx,75to84,75 to 84,37407,33123,0.6461666186766704
THE BRONX,Bronx,65to74,65 to 74,79132,69178,0.7510587161208534
THE BRONX,Bronx,55to64,55 to 64,112231,91677,0.6867138962432072
THE BRONX,Bronx,45to54,45 to 54,95036,72653,0.5463848569034232
THE BRONX,Bronx,35to44,35 to 44,76774,55495,0.4284501826101037
THE BRONX,Bronx,25to34,25 to 34,63117,43833,0.2781667772953015
THE BRONX,Bronx,18to24,18 to 24,33106,18968,0.2391057373470096
THE BRONX,Bronx,<18,<18,5549,2078,0.0158885072278299
THE BRONX,Bronx,%all%,%all%,515471,398393,0.3627470304909628
%all%,%all%,85andUp,85+,94530,82496,0.5282835395500118
%all%,%all%,75to84,75 to 84,255050,226624,0.6664931803051668
%all%,%all%,65to74,65 to 74,526729,463891,0.7327944685202318
%all%,%all%,55to64,55 to 64,671109,546547,0.6718316108150684
%all%,%all%,45to54,45 to 54,610174,468537,0.5935042462359704
%all%,%all%,35to44,35 to 44,612784,458397,0.5389926695786637
%all%,%all%,25to34,25 to 34,698022,506432,0.4704606527334722
%all%,%all%,18to24,18 to 24,269780,161504,0.3828454231568494
%all%,%all%,<18,<18,42505,18894,0.0249424604712105
%all%,%all%,%all%,%all%,3780683,2933322,0.4534923820446102
