Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-18,5/18,19488,19488
2021-05-17,5/17,35922,35922
2021-05-16,5/16,20680,20680
2021-05-15,5/15,58840,58840
2021-05-14,5/14,67982,67982
2021-05-13,5/13,60852,60852
2021-05-12,5/12,53425,53425
2021-05-11,5/11,58356,58356
2021-05-10,5/10,52351,52351
2021-05-09,5/9,36364,36364
2021-05-08,5/8,57063,57063
2021-05-07,5/7,71571,71571
2021-05-06,5/6,68641,68641
2021-05-05,5/5,66948,66948
2021-05-04,5/4,76298,76298
2021-05-03,5/3,71160,71160
2021-05-02,5/2,49137,49137
2021-05-01,5/1,66074,66074
2021-04-30,4/30,68448,68448
2021-04-29,4/29,69675,69675
2021-04-28,4/28,67157,67157
2021-04-27,4/27,61500,61500
2021-04-26,4/26,52104,52104
2021-04-25,4/25,38417,38417
2021-04-24,4/24,66554,66554
2021-04-23,4/23,74369,74369
2021-04-22,4/22,77734,77734
2021-04-21,4/21,73428,73428
2021-04-20,4/20,72432,72432
2021-04-19,4/19,68907,68907
2021-04-18,4/18,46998,46998
2021-04-17,4/17,76351,76351
2021-04-16,4/16,90104,90104
2021-04-15,4/15,92417,92417
2021-04-14,4/14,86901,86901
2021-04-13,4/13,83443,83443
2021-04-12,4/12,86215,86215
2021-04-11,4/11,69830,69830
2021-04-10,4/10,93819,93819
2021-04-09,4/9,113589,113589
2021-04-08,4/8,116022,116022
2021-04-07,4/7,104353,104353
2021-04-06,4/6,97106,97106
2021-04-05,4/5,84235,84235
2021-04-04,4/4,52175,52175
2021-04-03,4/3,85667,85667
2021-04-02,4/2,106818,106818
2021-04-01,4/1,113369,113369
2021-03-31,3/31,99617,99617
2021-03-30,3/30,84277,84277
2021-03-29,3/29,74682,74682
2021-03-28,3/28,60098,60098
2021-03-27,3/27,81637,81637
2021-03-26,3/26,95083,95083
2021-03-25,3/25,96663,96663
2021-03-24,3/24,81917,81917
2021-03-23,3/23,73529,73529
2021-03-22,3/22,62918,62918
2021-03-21,3/21,48388,48388
2021-03-20,3/20,67569,67569
2021-03-19,3/19,81339,81339
2021-03-18,3/18,80891,80891
2021-03-17,3/17,69975,69975
2021-03-16,3/16,62301,62301
2021-03-15,3/15,54100,54100
2021-03-14,3/14,50583,50583
2021-03-13,3/13,71683,71683
2021-03-12,3/12,84718,84718
2021-03-11,3/11,84212,84212
2021-03-10,3/10,70559,70559
2021-03-09,3/9,58460,58460
2021-03-08,3/8,62182,62182
2021-03-07,3/7,56684,56684
2021-03-06,3/6,70624,70624
2021-03-05,3/5,85935,85935
2021-03-04,3/4,81489,81489
2021-03-03,3/3,62787,62787
2021-03-02,3/2,57855,57855
2021-03-01,3/1,49327,49327
2021-02-28,2/28,57925,57925
2021-02-27,2/27,71886,71886
2021-02-26,2/26,92898,92898
2021-02-25,2/25,83168,83168
2021-02-24,2/24,54507,54507
2021-02-23,2/23,38643,38643
2021-02-22,2/22,24236,24236
2021-02-21,2/21,22990,22990
2021-02-20,2/20,36217,36217
2021-02-19,2/19,36546,36546
2021-02-18,2/18,36103,36103
2021-02-17,2/17,37549,37549
2021-02-16,2/16,40059,40059
2021-02-15,2/15,22787,22787
2021-02-14,2/14,39619,39619
2021-02-13,2/13,52689,52689
2021-02-12,2/12,67649,67649
2021-02-11,2/11,59505,59505
2021-02-10,2/10,47294,47294
2021-02-09,2/9,43915,43915
2021-02-08,2/8,38047,38047
2021-02-07,2/7,20082,20082
2021-02-06,2/6,32399,32399
2021-02-05,2/5,46167,46167
2021-02-04,2/4,45301,45301
2021-02-03,2/3,35694,35694
2021-02-02,2/2,11989,11989
2021-02-01,2/1,6334,6334
2021-01-31,1/31,15034,15034
2021-01-30,1/30,21390,21390
2021-01-29,1/29,42449,42449
2021-01-28,1/28,41846,41846
2021-01-27,1/27,32450,32450
2021-01-26,1/26,26873,26873
2021-01-25,1/25,24329,24329
2021-01-24,1/24,10334,10334
2021-01-23,1/23,18496,18496
2021-01-22,1/22,28513,28513
2021-01-21,1/21,33064,33064
2021-01-20,1/20,43768,43768
2021-01-19,1/19,43304,43304
2021-01-18,1/18,29095,29095
2021-01-17,1/17,25283,25283
2021-01-16,1/16,32296,32296
2021-01-15,1/15,32377,32377
2021-01-14,1/14,40708,40708
2021-01-13,1/13,40674,40674
2021-01-12,1/12,35605,35605
2021-01-11,1/11,32920,32920
2021-01-10,1/10,8790,8790
2021-01-09,1/9,9088,9088
2021-01-08,1/8,21805,21805
2021-01-07,1/7,21511,21511
2021-01-06,1/6,21535,21535
2021-01-05,1/5,16039,16039
2021-01-04,1/4,12971,12971
2021-01-03,1/3,3544,3544
2021-01-02,1/2,3812,3812
2021-01-01,1/1,166,166
2020-12-31,12/31,7235,7235
2020-12-30,12/30,12815,12815
2020-12-29,12/29,10722,10722
2020-12-28,12/28,10980,10980
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4349,4349
2020-12-25,12/25,179,179
2020-12-24,12/24,7239,7239
2020-12-23,12/23,14249,14249
2020-12-22,12/22,9756,9756
2020-12-21,12/21,6272,6272
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1686,1686
2020-12-18,12/18,5785,5785
2020-12-17,12/17,4495,4495
2020-12-16,12/16,4514,4514
2020-12-15,12/15,2040,2040
2020-12-14,12/14,77,77
