Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5943,5373,0.542562859739473
STATEN ISLAND,Staten Island,75to84,75 to 84,17131,15671,0.6891683891112186
STATEN ISLAND,Staten Island,65to74,65 to 74,36844,33685,0.7219400330054224
STATEN ISLAND,Staten Island,55to64,55 to 64,45088,39600,0.5988205050657796
STATEN ISLAND,Staten Island,45to54,45 to 54,35832,30459,0.4746462631677368
STATEN ISLAND,Staten Island,35to44,35 to 44,28573,23637,0.3994490823672559
STATEN ISLAND,Staten Island,25to34,25 to 34,24597,20060,0.3099553454163384
STATEN ISLAND,Staten Island,18to24,18 to 24,14813,11002,0.2773236518624841
STATEN ISLAND,Staten Island,<18,<18,4060,1999,0.0194124896899459
STATEN ISLAND,Staten Island,%all%,%all%,212881,181486,0.3811586015125706
QUEENS,Queens,85andUp,85+,28747,25292,0.4899158176896082
QUEENS,Queens,75to84,75 to 84,74821,67070,0.6111391994617614
QUEENS,Queens,65to74,65 to 74,160622,143637,0.68816227263431
QUEENS,Queens,55to64,55 to 64,221326,187951,0.6228007562888958
QUEENS,Queens,45to54,45 to 54,203367,165037,0.5474848762490704
QUEENS,Queens,35to44,35 to 44,193982,152942,0.4955846616276442
QUEENS,Queens,25to34,25 to 34,189977,147736,0.4075496824296737
QUEENS,Queens,18to24,18 to 24,83235,58487,0.3347354287438277
QUEENS,Queens,<18,<18,22252,10208,0.0227263115340328
QUEENS,Queens,%all%,%all%,1178329,958360,0.4224958012088781
MANHATTAN,Manhattan,85andUp,85+,25179,23041,0.5785471279236734
MANHATTAN,Manhattan,75to84,75 to 84,65169,60805,0.7100229494773957
MANHATTAN,Manhattan,65to74,65 to 74,118090,109747,0.742502463842974
MANHATTAN,Manhattan,55to64,55 to 64,138634,123059,0.676728623760949
MANHATTAN,Manhattan,45to54,45 to 54,134003,115725,0.5990923190125906
MANHATTAN,Manhattan,35to44,35 to 44,151795,129145,0.5567872938239914
MANHATTAN,Manhattan,25to34,25 to 34,225087,188924,0.5254640814779574
MANHATTAN,Manhattan,18to24,18 to 24,83749,65169,0.4526022353427784
MANHATTAN,Manhattan,<18,<18,21021,7865,0.0345460892920256
MANHATTAN,Manhattan,%all%,%all%,962727,823480,0.511027486018679
BROOKLYN,Brooklyn,85andUp,85+,23169,19877,0.3898979992153786
BROOKLYN,Brooklyn,75to84,75 to 84,64357,56445,0.5291999887494024
BROOKLYN,Brooklyn,65to74,65 to 74,140693,123946,0.5895368692417822
BROOKLYN,Brooklyn,55to64,55 to 64,173484,145311,0.5085516300068246
BROOKLYN,Brooklyn,45to54,45 to 54,165723,134912,0.4567621188626992
BROOKLYN,Brooklyn,35to44,35 to 44,188930,154045,0.4303101238595923
BROOKLYN,Brooklyn,25to34,25 to 34,226176,184714,0.3929742299076038
BROOKLYN,Brooklyn,18to24,18 to 24,74302,52674,0.2534502318226246
BROOKLYN,Brooklyn,<18,<18,18472,7627,0.0132628896893689
BROOKLYN,Brooklyn,%all%,%all%,1075306,879551,0.3435876281249719
THE BRONX,Bronx,85andUp,85+,13253,11630,0.437149335590764
THE BRONX,Bronx,75to84,75 to 84,37609,33633,0.5809747342997956
THE BRONX,Bronx,65to74,65 to 74,79935,70966,0.6735534657058142
THE BRONX,Bronx,55to64,55 to 64,115938,98062,0.6000172687884932
THE BRONX,Bronx,45to54,45 to 54,100033,80523,0.4629461239155094
THE BRONX,Bronx,35to44,35 to 44,81965,63172,0.3525419404465766
THE BRONX,Bronx,25to34,25 to 34,68015,50866,0.2241746485717446
THE BRONX,Bronx,18to24,18 to 24,36982,24574,0.1774839723785844
THE BRONX,Bronx,<18,<18,9303,3789,0.0108490816158312
THE BRONX,Bronx,%all%,%all%,543033,437215,0.3076767518174762
%all%,%all%,85andUp,85+,96291,85213,0.476215225385329
%all%,%all%,75to84,75 to 84,259087,233624,0.6105030494240904
%all%,%all%,65to74,65 to 74,536184,481981,0.6705402792173012
%all%,%all%,55to64,55 to 64,694470,593983,0.5946225660612012
%all%,%all%,45to54,45 to 54,638958,526656,0.5122679306323298
%all%,%all%,35to44,35 to 44,645245,522941,0.4599685462122638
%all%,%all%,25to34,25 to 34,733852,592300,0.3992049600356946
%all%,%all%,18to24,18 to 24,293081,211906,0.3007162956463612
%all%,%all%,<18,<18,75108,31488,0.018477548413539
%all%,%all%,%all%,%all%,3972276,3280092,0.3934465635985533
