COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(Perc at least 1 dose mod)-alias,SUM(At least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,61.65040526580808,61.65040526580808,51816,41552,49.4383518528033,"84,048",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,49.18912930284664,49.18912930284664,19700,15783,39.408732374966,"40,049",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,37.670426450536624,37.670426450536624,32664,26851,30.9664652407347,"86,710",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,58.76310739225649,58.76310739225649,22750,19445,50.2263131095572,"38,715",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,48.71920076854164,48.71920076854164,30718,26146,41.4679413794612,"63,051",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,46.72594469958962,46.72594469958962,27343,23251,39.7332019240814,"58,518",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,47.586422908668794,47.586422908668794,20922,17758,40.3900056405764,"43,966",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,44.657796630201645,44.657796630201645,6695,5640,37.6206083636053,"14,992",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,68.81798799324251,68.81798799324251,40198,35219,60.2940623696206,"58,412",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,67.73192018244032,67.73192018244032,39663,34789,59.4086622602153,"58,559",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,65.09354146284281,65.09354146284281,30835,27003,57.0040830264681,"47,370",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,78.8105479202131,78.8105479202131,5510,4606,65.8804689147916,"6,991",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,37.653839532954215,37.653839532954215,5615,4840,32.4567379055207,"14,912",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,49.25103468547607,49.25103468547607,13340,10605,39.1534649804703,"27,086",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,60.21624107393393,60.21624107393393,56959,41589,43.9672966523963,"94,591",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,64.81090646461072,64.81090646461072,16486,13747,54.0431597215215,"25,437",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,34.983847118673026,34.983847118673026,13328,10994,28.8574741313544,"38,098",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,49.62051250513482,49.62051250513482,23736,19197,40.1316556522191,"47,835",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,40.17454829084562,40.17454829084562,8052,6477,32.3162629507957,"20,043",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,37.18641489014613,37.18641489014613,25279,20015,29.4428614275199,"67,979",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,47.143086430656204,47.143086430656204,18341,15708,40.3753122323073,"38,905",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,34.35110708985274,34.35110708985274,11126,9157,28.2718935486052,"32,389",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,60.56455478060013,60.56455478060013,7069,6091,52.1854156413402,"11,672",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,52.70187212143001,52.70187212143001,25563,19983,41.1978840747383,"48,505",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,49.558874024230036,49.558874024230036,18627,15016,39.9514711090266,"37,586",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,55.921495455099425,55.921495455099425,23148,19449,46.9853622389074,"41,394",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,36.23132422639952,36.23132422639952,11655,9544,29.6689625411203,"32,168",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,57.020853706692506,57.020853706692506,10595,9074,48.8350378984924,"18,581",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,45.65825009603024,45.65825009603024,10703,9060,38.6493269055437,"23,442",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,48.19571782597046,48.19571782597046,36299,29470,39.1285656445453,"75,316",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,51.470076660740226,51.470076660740226,15977,12919,41.618696900551,"31,041",40.676444415658594,40.6764,-73.84322242266497,-73.8432
14079738205464829344,Ozone Park,11416,48.481185454588044,48.481185454588044,12794,10155,38.4810409794702,"26,390",40.68421767075783,40.6842,-73.85148534986325,-73.8515
13226122797477619450,Ocean Hill-Brownsville,11212,31.358583404918804,31.358583404918804,23195,18337,24.7907886999783,"73,967",40.663205105824936,40.6632,-73.91367297533805,-73.9137
14285113515916235053,New Dorp/Todt Hill,10304,46.331944030748886,46.331944030748886,19407,16302,38.9191194718024,"41,887",40.610997855936304,40.6110,-74.09249648485172,-74.0925
7871365334414836712,Mott Haven/Port Morris,10454,36.18583054205553,36.18583054205553,13689,10728,28.3586522065287,"37,830",40.803927383985425,40.8039,-73.91259257607629,-73.9126
5884942442616128710,Mott Haven,10455,36.002959089214656,36.002959089214656,15083,11958,28.5436176350082,"41,894",40.81439773644144,40.8144,-73.90969324670235,-73.9097
297583840191204889,Morris Park/Pelham Bay/Westchester Square,10461,54.646001445067924,54.646001445067924,26830,22440,45.7046691176789,"49,098",40.84548460089088,40.8455,-73.83682816075867,-73.8368
6247711691948238201,Morris Heights/Mount Hope/University Heights,10453,35.62260020792833,35.62260020792833,28027,22033,28.0041656396077,"78,678",40.851537542937415,40.8515,-73.91593074527222,-73.9159
5852721915417736773,Midwood,11230,33.06813175525667,33.06813175525667,29394,23873,26.857028964865002,"88,889",40.623672951848654,40.6237,-73.96587906716165,-73.9659
14023378437539972644,Middle Village,11379,48.62638565494253,48.62638565494253,17815,15115,41.2566836471769,"36,636",40.719725846415166,40.7197,-73.87922087991288,-73.8792
14038901105978491135,Maspeth,11378,48.22460416125862,48.22460416125862,17431,14155,39.1612226437162,"36,145",40.722907983675334,40.7229,-73.92045963318517,-73.9205
2850878229969502036,Manhattan Valley/Morningside Heights/Upper West Side,10025,63.77651978608595,63.77651978608595,58432,50776,55.4202589104994,"91,620",40.800328958394,40.8003,-73.96625543325898,-73.9663
12858335072921120838,Long Island City,11109,77.60175718935002,77.60175718935002,4472,3878,67.294189262142,"5,763",40.74558119163512,40.7456,-73.95829189233923,-73.9583
10008109472310056797,Lincoln Square,10069,75.45470839560238,75.45470839560238,4742,4016,63.9025957226358,"6,285",40.77578476904258,40.7758,-73.99112607067067,-73.9911
6421052027766357067,Lincoln Square,10023,71.0929693846389,71.0929693846389,43923,38427,62.1972436888081,"61,782",40.77569919527727,40.7757,-73.98301759070974,-73.9830
13518408187751020201,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,50.35903221166329,50.35903221166329,26593,22924,43.4110651081175,"52,807",40.573044245370184,40.5730,-74.13111792428568,-74.1311
12241881246569873691,Lenox Hill/Upper East Side,10075,78.7389591996395,78.7389591996395,18145,15892,68.9622231799765,"23,045",40.77278389700894,40.7728,-73.95475581857359,-73.9548
12041298690412720261,Lenox Hill/Upper East Side,10065,70.8338241865287,70.8338241865287,19762,17404,62.3819388797868,"27,899",40.76384107283376,40.7638,-73.96118817421443,-73.9612
6136035347793680985,Lenox Hill/Upper East Side,10021,66.35779783058473,66.35779783058473,30442,27158,59.1992994377182,"45,876",40.76546008702753,40.7655,-73.95747906346895,-73.9575
13568842172321599915,Laurelton/Rosedale,11413,32.76098498737505,32.76098498737505,14155,11659,26.9841274438577,"43,207",40.66408016462025,40.6641,-73.75057297474643,-73.7506
9614305802080270957,Kips Bay/Murray Hill/NoMad,10016,75.79140362280214,75.79140362280214,38587,33471,65.7427131069741,"50,912",40.74479999580176,40.7448,-73.97277641016387,-73.9728
4599956056429521911,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,50.70597370993543,50.70597370993543,35486,30258,43.2356803391542,"69,984",40.87792187299295,40.8779,-73.90969806175039,-73.9097
