COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(Perc at least 1 dose mod)-alias,SUM(At least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,59.9574121173922,73.94139727660487,50692,41105,59.9574121173922,"68,557",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,50.6254110662088,62.410790767607914,19186,15563,50.6254110662088,"30,741",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,42.9780333564989,51.95539517729546,32282,26704,42.9780333564989,"62,134",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,61.0577630006159,70.63040531099448,22231,19218,61.0577630006159,"31,475",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,49.405592401507,57.630986719372416,30317,25990,49.405592401507,"52,605",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,47.7372155316977,55.41266777753895,26777,23068,47.7372155316977,"48,323",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,48.7653748999285,56.78781574459564,20528,17628,48.7653748999285,"36,149",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,47.3229646070323,55.603004834650896,6581,5601,47.3229646070323,"11,836",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,70.6922028535282,78.17805368950634,38223,34563,70.6922028535282,"48,892",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,69.5119577340992,77.08021716872985,37999,34268,69.5119577340992,"49,298",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,66.250267972288,73.48972565408867,29459,26557,66.250267972288,"40,086",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,81.3506858414798,94.07182308488716,5243,4534,81.3506858414798,"5,573",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,42.6680675491243,49.15852166682809,5529,4799,42.6680675491243,"11,247",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,48.9285057197024,60.73883468652708,13032,10498,48.9285057197024,"21,456",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,56.5099171343401,76.64254401755343,55866,41191,56.5099171343401,"72,892",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,63.1599691057001,74.96856055488296,16170,13623,63.1599691057001,"21,569",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,35.5627559534921,42.819727744442666,13105,10884,35.5627559534921,"30,605",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,51.0271876523705,62.35728626711279,23154,18947,51.0271876523705,"37,131",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,41.5090694406891,51.03712528007117,7858,6391,41.5090694406891,"15,397",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,38.9438076732569,48.69892775376069,24771,19809,38.9438076732569,"50,866",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,50.4367873954719,58.14082884708242,17901,15529,50.4367873954719,"30,789",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,35.4971954006449,42.861807447737746,10959,9076,35.4971954006449,"25,568",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,61.340499347465,70.16881197117583,6899,6031,61.340499347465,"9,832",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,51.9791507399681,65.9114619200417,24993,19710,51.9791507399681,"37,919",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,51.4828176143937,63.09005481116642,18176,14832,51.4828176143937,"28,810",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,55.1356913508015,65.01027077119777,22720,19269,55.1356913508015,"34,948",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,36.2082947183783,43.73378987065139,11402,9440,36.2082947183783,"26,071",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,60.6264985517646,70.044470570774,10323,8935,60.6264985517646,"14,738",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,51.4180197353625,60.01357993281484,10431,8937,51.4180197353625,"17,381",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,49.6588843237059,60.56875202805671,35570,29163,49.6588843237059,"58,727",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,53.6216812037926,65.4369136866344,15524,12721,53.6216812037926,"23,724",40.676444415658594,40.6764,-73.84322242266497,-73.8432
14079738205464829344,Ozone Park,11416,50.6165826120567,63.06990890597021,12484,10019,50.6165826120567,"19,794",40.68421767075783,40.6842,-73.85148534986325,-73.8515
13226122797477619450,Ocean Hill-Brownsville,11212,32.8725406981496,41.260531788783474,22834,18192,32.8725406981496,"55,341",40.663205105824936,40.6632,-73.91367297533805,-73.9137
14285113515916235053,New Dorp/Todt Hill,10304,49.8308557801573,58.69214635415848,18996,16128,49.8308557801573,"32,365",40.610997855936304,40.6110,-74.09249648485172,-74.0925
7871365334414836712,Mott Haven/Port Morris,10454,38.7956681870958,48.86232101050441,13387,10629,38.7956681870958,"27,397",40.803927383985425,40.8039,-73.91259257607629,-73.9126
5884942442616128710,Mott Haven,10455,38.7689614699112,48.33936400605901,14779,11853,38.7689614699112,"30,573",40.81439773644144,40.8144,-73.90969324670235,-73.9097
297583840191204889,Morris Park/Pelham Bay/Westchester Square,10461,57.2890066922226,67.83451345716078,26322,22230,57.2890066922226,"38,803",40.84548460089088,40.8455,-73.83682816075867,-73.8368
6247711691948238201,Morris Heights/Mount Hope/University Heights,10453,38.1363601688106,48.00561433638256,27536,21875,38.1363601688106,"57,360",40.851537542937415,40.8515,-73.91593074527222,-73.9159
5852721915417736773,Midwood,11230,36.5682918607531,44.59487411551644,28824,23636,36.5682918607531,"64,635",40.623672951848654,40.6237,-73.96587906716165,-73.9659
14023378437539972644,Middle Village,11379,50.4961527509363,58.96455660517215,17449,14943,50.4961527509363,"29,592",40.719725846415166,40.7197,-73.87922087991288,-73.8792
