Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.396981268993287
Latino,Latino,STATEN ISLAND,Staten Island,0.3257454770325707
Black,Black,STATEN ISLAND,Staten Island,0.2754827823850412
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.632811240475801
White,White,QUEENS,Queens,0.4140917253003384
Latino,Latino,QUEENS,Queens,0.3866645722283615
Black,Black,QUEENS,Queens,0.2661602923212531
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6211944563275328
White,White,MANHATTAN,Manhattan,0.5588343143802196
Latino,Latino,MANHATTAN,Manhattan,0.3996426979363955
Black,Black,MANHATTAN,Manhattan,0.3420280353799001
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6241604379100386
White,White,BROOKLYN,Brooklyn,0.4124043907373019
Latino,Latino,BROOKLYN,Brooklyn,0.3304856798659921
Black,Black,BROOKLYN,Brooklyn,0.2662567303291435
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.62166982780955
White,White,THE BRONX,Bronx,0.4126745700160373
Latino,Latino,THE BRONX,Bronx,0.2959684268776005
Black,Black,THE BRONX,Bronx,0.2730035528560598
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4941899751925536
White,White,%all%,%all%,0.4559858080208654
Latino,Latino,%all%,%all%,0.3465100515376995
Black,Black,%all%,%all%,0.2766323589834486
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6165851921124966
