Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,6018,5451,0.6076946379884884
STATEN ISLAND,Staten Island,75to84,75 to 84,17271,15845,0.7595320814459738
STATEN ISLAND,Staten Island,65to74,65 to 74,37201,34096,0.797295269937204
STATEN ISLAND,Staten Island,55to64,55 to 64,45721,40489,0.691380613942235
STATEN ISLAND,Staten Island,45to54,45 to 54,36594,31292,0.5702487066010098
STATEN ISLAND,Staten Island,35to44,35 to 44,29388,24459,0.4966370365363166
STATEN ISLAND,Staten Island,25to34,25 to 34,25289,20836,0.3907507841592114
STATEN ISLAND,Staten Island,18to24,18 to 24,15483,11670,0.3902746865830613
STATEN ISLAND,Staten Island,%all%,%all%,212965,184138,0.5706946118175128
QUEENS,Queens,85andUp,85+,29112,25866,0.5639106944717646
QUEENS,Queens,75to84,75 to 84,75867,68510,0.6912971171248762
QUEENS,Queens,65to74,65 to 74,163032,146812,0.7810833673226036
QUEENS,Queens,55to64,55 to 64,225801,194480,0.7482217895663708
QUEENS,Queens,45to54,45 to 54,208779,172896,0.6925922367614818
QUEENS,Queens,35to44,35 to 44,200357,161176,0.6492255629567412
QUEENS,Queens,25to34,25 to 34,196394,155905,0.5417793383541814
QUEENS,Queens,18to24,18 to 24,87602,63772,0.5013677061366936
QUEENS,Queens,%all%,%all%,1186944,989417,0.652468445306258
MANHATTAN,Manhattan,85andUp,85+,25418,23394,0.6382323205400776
MANHATTAN,Manhattan,75to84,75 to 84,65671,61502,0.7668434687135935
MANHATTAN,Manhattan,65to74,65 to 74,119356,111315,0.8075129531963698
MANHATTAN,Manhattan,55to64,55 to 64,141007,126179,0.775428640332362
MANHATTAN,Manhattan,45to54,45 to 54,136938,119614,0.7089090860310748
MANHATTAN,Manhattan,35to44,35 to 44,155461,133834,0.6702443724896164
MANHATTAN,Manhattan,25to34,25 to 34,229834,196033,0.6392491779890584
MANHATTAN,Manhattan,18to24,18 to 24,86453,68765,0.6004207683421446
MANHATTAN,Manhattan,%all%,%all%,960138,840636,0.6938650100576446
BROOKLYN,Brooklyn,85andUp,85+,23529,20485,0.4615339348764222
BROOKLYN,Brooklyn,75to84,75 to 84,65236,57750,0.6116199923120916
BROOKLYN,Brooklyn,65to74,65 to 74,142840,126838,0.6794043083479594
BROOKLYN,Brooklyn,55to64,55 to 64,177373,150785,0.6207604948641224
BROOKLYN,Brooklyn,45to54,45 to 54,170381,140902,0.5768470304638992
BROOKLYN,Brooklyn,35to44,35 to 44,194269,160656,0.5426720598012212
BROOKLYN,Brooklyn,25to34,25 to 34,232049,192533,0.4936782110496744
BROOKLYN,Brooklyn,18to24,18 to 24,78061,56986,0.3756042553500001
BROOKLYN,Brooklyn,%all%,%all%,1083738,906935,0.5460077981151592
THE BRONX,Bronx,85andUp,85+,13540,12103,0.508942562674028
THE BRONX,Bronx,75to84,75 to 84,38707,35049,0.6686227526697646
THE BRONX,Bronx,65to74,65 to 74,82292,73811,0.7810509511577778
THE BRONX,Bronx,55to64,55 to 64,119476,102666,0.7310442700105444
THE BRONX,Bronx,45to54,45 to 54,103815,85354,0.5968574426473008
THE BRONX,Bronx,35to44,35 to 44,86043,67751,0.4801773915950862
THE BRONX,Bronx,25to34,25 to 34,71801,54687,0.3164385629320142
THE BRONX,Bronx,18to24,18 to 24,39718,27259,0.2868604384688131
THE BRONX,Bronx,%all%,%all%,555392,458680,0.518198586340022
%all%,%all%,85andUp,85+,97617,87299,0.5455353250846662
%all%,%all%,75to84,75 to 84,262752,238656,0.6866199416253408
%all%,%all%,65to74,65 to 74,544721,492872,0.7578252492017892
%all%,%all%,55to64,55 to 64,709378,614599,0.710141816630043
%all%,%all%,45to54,45 to 54,656507,550058,0.6385714438564052
%all%,%all%,35to44,35 to 44,665518,547876,0.5853764515272152
%all%,%all%,25to34,25 to 34,755367,619994,0.5091106754132746
%all%,%all%,18to24,18 to 24,307317,228452,0.4361142668407349
%all%,%all%,%all%,%all%,3999177,3379806,0.6029490434589468
