COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(Perc at least 1 dose mod)-alias,SUM(At least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,50.5995915382177,62.81997351453993,52799,42528,50.5995915382177,"84,048",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,40.3101169271653,50.1579304282022,20088,16144,40.3101169271653,"40,049",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,31.5800051278179,38.16633275024673,33094,27383,31.5800051278179,"86,710",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,50.9263044108012,59.32361703199801,22967,19716,50.9263044108012,"38,715",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,41.956433919233,49.183903087220685,31011,26454,41.956433919233,"63,051",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,40.3227660143919,47.23690024452533,27642,23596,40.3227660143919,"58,518",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,40.8494482095254,48.05951228659648,21130,17960,40.8494482095254,"43,966",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,38.1275527316255,44.99131266179389,6745,5716,38.1275527316255,"14,992",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,60.8213507994409,69.22543814355825,40436,35527,60.8213507994409,"58,412",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,59.9602445968748,68.16396455140277,39916,35112,59.9602445968748,"58,559",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,57.4959524981997,65.5073029068745,31031,27236,57.4959524981997,"47,370",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,66.5384154128551,79.43988804879557,5554,4652,66.5384154128551,"6,991",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,32.7517991592073,37.94890078664076,5659,4884,32.7517991592073,"14,912",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,39.9693929164141,50.11865036396834,13575,10826,39.9693929164141,"27,086",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,45.2200617232825,61.272369602048194,57958,42774,45.2200617232825,"94,591",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,55.0888773679843,65.80551760955473,16739,14013,55.0888773679843,"25,437",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,29.3089463480719,35.427444819982725,13497,11166,29.3089463480719,"38,098",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,40.7483581795622,50.23721503247788,24031,19492,40.7483581795622,"47,835",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,32.8301698650974,40.6834658176298,8154,6580,32.8301698650974,"20,043",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,30.1651419651622,38.01608133257037,25843,20506,30.1651419651622,"67,979",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,40.8559707112634,47.70599662793627,18560,15895,40.8559707112634,"38,905",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,28.7103132148607,34.687640495640444,11235,9299,28.7103132148607,"32,389",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,52.9050963036079,61.09574765036916,7131,6175,52.9050963036079,"11,672",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,42.1503648054859,53.59044180747375,25994,20445,42.1503648054859,"48,505",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,40.7948792298019,50.12025924026658,18838,15333,40.7948792298019,"37,586",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,47.8357323097643,56.45780839751484,23370,19801,47.8357323097643,"41,394",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,30.1570207053026,36.812641912400096,11842,9701,30.1570207053026,"32,168",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,49.5077709530782,57.677441167968254,10717,9199,49.5077709530782,"18,581",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,39.1612385201867,46.19575729140535,10829,9180,39.1612385201867,"23,442",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,39.9119336028175,48.99501869186854,36901,30060,39.9119336028175,"75,316",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,42.3274292573992,52.198138081866055,16203,13139,42.3274292573992,"31,041",40.676444415658594,40.6764,-73.84322242266497,-73.8432
14079738205464829344,Ozone Park,11416,39.3412277152988,49.409580830262115,13039,10382,39.3412277152988,"26,390",40.68421767075783,40.6842,-73.85148534986325,-73.8515
13226122797477619450,Ocean Hill-Brownsville,11212,25.4005201557066,32.04672821859001,23704,18788,25.4005201557066,"73,967",40.663205105824936,40.6632,-73.91367297533805,-73.9137
14285113515916235053,New Dorp/Todt Hill,10304,39.4825418859445,46.869105230672545,19632,16538,39.4825418859445,"41,887",40.610997855936304,40.6110,-74.09249648485172,-74.0925
7871365334414836712,Mott Haven/Port Morris,10454,29.0406555873345,36.85990365099147,13944,10986,29.0406555873345,"37,830",40.803927383985425,40.8039,-73.91259257607629,-73.9126
5884942442616128710,Mott Haven,10455,29.135590972814,36.840792321351124,15434,12206,29.135590972814,"41,894",40.81439773644144,40.8144,-73.90969324670235,-73.9097
297583840191204889,Morris Park/Pelham Bay/Westchester Square,10461,46.3095838560011,55.12871118574929,27067,22737,46.3095838560011,"49,098",40.84548460089088,40.8455,-73.83682816075867,-73.8368
6247711691948238201,Morris Heights/Mount Hope/University Heights,10453,28.5430739240535,36.1513404115355,28443,22457,28.5430739240535,"78,678",40.851537542937415,40.8515,-73.91593074527222,-73.9159
5852721915417736773,Midwood,11230,27.3025273718556,33.664379623198634,29924,24269,27.3025273718556,"88,889",40.623672951848654,40.6237,-73.96587906716165,-73.9659
14023378437539972644,Middle Village,11379,42.0564327909826,49.1095105643405,17992,15408,42.0564327909826,"36,636",40.719725846415166,40.7197,-73.87922087991288,-73.8792
14038901105978491135,Maspeth,11378,39.9663032363916,48.927320554865396,17685,14446,39.9663032363916,"36,145",40.722907983675334,40.7229,-73.92045963318517,-73.9205
2850878229969502036,Manhattan Valley/Morningside Heights/Upper West Side,10025,55.9638087950399,64.15089249772731,58775,51274,55.9638087950399,"91,620",40.800328958394,40.8003,-73.96625543325898,-73.9663
12858335072921120838,Long Island City,11109,67.953595964556,78.17439985197268,4505,3916,67.953595964556,"5,763",40.74558119163512,40.7456,-73.95829189233923,-73.9583
10008109472310056797,Lincoln Square,10069,64.491339756933,76.01162842804567,4777,4053,64.491339756933,"6,285",40.77578476904258,40.7758,-73.99112607067067,-73.9911
6421052027766357067,Lincoln Square,10023,62.7281385265506,71.53160505850538,44194,38755,62.7281385265506,"61,782",40.77569919527727,40.7757,-73.98301759070974,-73.9830
13518408187751020201,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,43.8504023575104,50.83056227674449,26842,23156,43.8504023575104,"52,807",40.573044245370184,40.5730,-74.13111792428568,-74.1311
12241881246569873691,Lenox Hill/Upper East Side,10075,69.4829547922089,79.29006682258546,18272,16012,69.4829547922089,"23,045",40.77278389700894,40.7728,-73.95475581857359,-73.9548
12041298690412720261,Lenox Hill/Upper East Side,10065,62.7869698550462,71.15641522877077,19852,17517,62.7869698550462,"27,899",40.76384107283376,40.7638,-73.96118817421443,-73.9612
6136035347793680985,Lenox Hill/Upper East Side,10021,59.5480691523524,66.72618584166707,30611,27318,59.5480691523524,"45,876",40.76546008702753,40.7655,-73.95747906346895,-73.9575
13568842172321599915,Laurelton/Rosedale,11413,27.3567532709836,33.24933312106182,14366,11820,27.3567532709836,"43,207",40.66408016462025,40.6641,-73.75057297474643,-73.7506
9614305802080270957,Kips Bay/Murray Hill/NoMad,10016,66.4380290652624,76.36690524929502,38880,33825,66.4380290652624,"50,912",40.74479999580176,40.7448,-73.97277641016387,-73.9728
4599956056429521911,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,43.6243413561497,51.090348024537604,35755,30530,43.6243413561497,"69,984",40.87792187299295,40.8779,-73.90969806175039,-73.9097
14697998743943871037,Kew Gardens Hills/Pomonok,11367,39.6203780477109,47.251406433172235,19220,16116,39.6203780477109,"40,676",40.73083824591093,40.7308,-73.82342148229684,-73.8234
1637893300889686692,Kew Gardens,11415,46.659179664508,53.90232054588222,10173,8806,46.659179664508,"18,873",40.70939677600189,40.7094,-73.83030279545555,-73.8303
504297603486692083,Kensington/Windsor Terrace,11218,37.5899121389108,45.88631590021848,33954,27815,37.5899121389108,"73,996",40.64731709291488,40.6473,-73.97477697120239,-73.9748
2142587574702034187,Jamaica,11433,32.930907200472,39.450279449937604,14408,12027,32.930907200472,"36,522",40.69927658115394,40.6993,-73.78652882796163,-73.7865
8667208470702579115,Jackson Heights/Rikers Island,11370,39.4998507237054,48.97515748988431,15563,12552,39.4998507237054,"31,777",40.785652326242925,40.7857,-73.88321121384428,-73.8832
15982059181251577592,Jackson Heights,11372,53.2210805619414,66.62028188870467,40427,32296,53.2210805619414,"60,683",40.750337666757154,40.7503,-73.88634940617133,-73.8863
2597243027712784715,Inwood/Washington Heights (North),10034,37.8179513376584,44.75420156735103,18905,15975,37.8179513376584,"42,242",40.86630310110243,40.8663,-73.92287666540476,-73.9229
5849118026665181117,Hunts Point,10474,25.1678731221415,32.70821467134318,3917,3014,25.1678731221415,"11,976",40.808288720417636,40.8083,-73.88884177256035,-73.8888
6913227023405428439,Hudson Square/Meatpacking District/West Village,10014,62.2493633332988,71.2782240709552,21623,18884,62.2493633332988,"30,336",40.73460135833562,40.7346,-74.00803505661187,-74.0080
9356805364938853039,Hudson Square/Little Italy/SoHo/TriBeCa,10013,60.2001550868578,70.07216161300414,20194,17349,60.2001550868578,"28,819",40.71963180060329,40.7196,-74.00400736034565,-74.0040
7533204450420038978,Hollis/Holliswood,11423,43.6117397632304,50.709084746789976,15790,13580,43.6117397632304,"31,138",40.716506651570015,40.7165,-73.77105954138645,-73.7711
2674089007412190215,Hillcrest/Jamaica Estates/Jamaica Hills,11432,50.0487964790085,58.85469844772274,35757,30407,50.0487964790085,"60,755",40.71599765832633,40.7160,-73.79330890321143,-73.7933
5943557986778385093,Hell's Kitchen/Midtown Manhattan,10036,71.8849181236659,84.77670347066667,23095,19583,71.8849181236659,"27,242",40.75925598904226,40.7593,-73.99269254598528,-73.9927
9848049560676505857,Hell's Kitchen/Midtown Manhattan,10019,65.2951062562807,76.05737938262386,33102,28418,65.2951062562807,"43,522",40.76652116514743,40.7665,-73.99040795806198,-73.9904
1344053829658389205,Hell's Kitchen/Midtown Manhattan,10018,58.3179028989347,70.08156364949045,8263,6876,58.3179028989347,"11,791",40.75724354275797,40.7572,-73.99762126573604,-73.9976
2040086214448852188,Hamilton Heights/West Harlem,10031,39.6570663124398,46.867750049174276,27663,23407,39.6570663124398,"59,024",40.825359467598275,40.8254,-73.95213436013692,-73.9521
5821409775058227380,Hamilton Beach/Howard Beach/Lindenwood,11414,37.5479632649032,43.7401330144495,12404,10648,37.5479632649032,"28,358",40.655357369855885,40.6554,-73.84741468386446,-73.8474
2188205222476189661,Greenwich Village/SoHo,10012,55.817910312442,64.51691761486869,14937,12923,55.817910312442,"23,152",40.72532714914477,40.7253,-73.99828025686872,-73.9983
1276903058674644194,Greenpoint,11222,58.5880366548746,67.2361668055942,24288,21164,58.5880366548746,"36,123",40.732710568202016,40.7327,-73.94772475132561,-73.9477
8052967789995192660,Great Kills,10308,37.2693609439829,42.83595615425925,12774,11114,37.2693609439829,"29,821",40.54375345479274,40.5438,-74.14337697566305,-74.1434
1226563181018629970,Gravesend/Homecrest,11223,31.4253078988771,38.59291395289481,31450,25609,31.4253078988771,"81,492",40.59497337603157,40.5950,-73.97338889646544,-73.9734
15062144985260141127,Graniteville/Mariner's Harbor/Port Ivory,10303,30.9551039189578,38.313871769072,10158,8207,30.9551039189578,"26,513",40.63998115388839,40.6400,-74.1749064588237,-74.1749
1975268528569283706,Gowanus/Park Slope/Windsor Terrace,11215,54.9075022172163,62.75676585521587,43694,38229,54.9075022172163,"69,624",40.665060849722735,40.6651,-73.98713189689084,-73.9871
11728784118057846679,Glendale/Ridgewood,11385,35.104892210347,43.38842687360672,44957,36374,35.104892210347,"103,615",40.702914746129274,40.7029,-73.88796183776728,-73.8880
5300398451044121207,Gerritsen Beach/Homecrest/Sheepshead Bay,11229,33.8483192305651,40.4901270784528,33822,28274,33.8483192305651,"83,531",40.592591816696896,40.5926,-73.93102293435037,-73.9310
16558769320244644509,Fresh Meadows/Hillcrest,11366,46.5367106815524,54.35617310853446,7723,6612,46.5367106815524,"14,208",40.72686004102343,40.7269,-73.78315823337884,-73.7832
2069792849576935000,Forest Hills,11375,49.2152577048854,56.98749105230399,40613,35074,49.2152577048854,"71,267",40.72297405344856,40.7230,-73.84418195812574,-73.8442
14110631317039195668,Fordham/Kingsbridge/University Heights,10468,30.082991754079,37.728400073671274,29357,23408,30.082991754079,"77,811",40.867959355731095,40.8680,-73.90275470151684,-73.9028
1796791447416200226,Flushing/Murray Hill/Queensboro Hill,11355,61.0960470414199,77.63951129032647,61221,48176,61.0960470414199,"78,853",40.74814633229538,40.7481,-73.82283331503541,-73.8228
13627776600523588151,Flushing/Murray Hill,11354,58.4155684401135,71.71704022639446,38669,31497,58.4155684401135,"53,919",40.76861583294839,40.7686,-73.83700150248836,-73.8370
12322775813457235741,Flatlands/Midwood,11210,25.8650852112191,31.689677089860858,20816,16990,25.8650852112191,"65,687",40.62655887222889,40.6266,-73.94615699606153,-73.9462
6118710961472576396,Flatiron/Gramercy/Kips Bay,10010,56.0699198785232,64.05121107774401,21363,18701,56.0699198785232,"33,353",40.73775576335703,40.7378,-73.97599091185998,-73.9760
11328094199542994609,Flatbush/Prospect Lefferts Gardens,11226,33.7876576178855,41.5027149647554,40405,32894,33.7876576178855,"97,355",40.6451447748454,40.6451,-73.95759499032192,-73.9576
6402386507838947620,Financial District,10006,70.0514628328719,85.1321914292267,2879,2369,70.0514628328719,"3,382",40.7088105591395,40.7088,-74.01393757411763,-74.0139
17162405344876578437,Financial District,10005,61.6405252248175,75.16078863092788,6582,5398,61.6405252248175,"8,757",40.705994121731095,40.7060,-74.0086809434999,-74.0087
13626678536658579648,Financial District,10004,82.7693147709899,99.82786866891354,2967,2460,82.7693147709899,"2,972",40.70208588741524,40.7021,-74.01276251954427,-74.0128
1350034078683374798,Fieldston/North Riverdale/Riverdale,10471,55.6516506561948,63.64089447343213,13518,11821,55.6516506561948,"21,241",40.89770404077458,40.8977,-73.90396236432697,-73.9040
15018623739585943687,Elmhurst,11373,55.4629970075772,69.30610718820354,63523,50835,55.4629970075772,"91,656",40.736761120710185,40.7368,-73.87877667649306,-73.8788
5857047755166378474,Elm Park,10302,33.0268329450111,40.811536074883456,7544,6105,33.0268329450111,"18,485",40.630931606306476,40.6309,-74.13912004653977,-74.1391
2682952550991094888,Edgemere/Far Rockaway,11691,22.735327087975,29.056346316513277,19426,15200,22.735327087975,"66,856",40.602370082183434,40.6024,-73.76774794637974,-73.7677
13013986920525830455,Edenwald/Wakefield,10466,27.3748000674449,33.43705408576177,23844,19521,27.3748000674449,"71,310",40.893420110810986,40.8934,-73.84301458324927,-73.8430
14950690994598268712,East Williamsburg/Williamsburg (North)/Williamsburg (South),11211,39.1828198056774,46.149681756767144,46919,39836,39.1828198056774,"101,667",40.71396838984885,40.7140,-73.9454904471319,-73.9455
190186181469070100,East Village/Gramercy/Greenwich Village,10003,57.4087755895938,65.51395802164735,35363,30988,57.4087755895938,"53,978",40.73109435770712,40.7311,-73.9889898959372,-73.9890
4798243567748367950,East New York,11239,42.9263653514361,50.02188620738019,6514,5590,42.9263653514361,"13,022",40.64510527926141,40.6451,-73.88454888295168,-73.8845
18081751456025081295,East Midtown/Murray Hill,10017,68.4417920338104,79.29794377415381,12381,10686,68.4417920338104,"15,613",40.75173201934197,40.7517,-73.97189354977199,-73.9719
1246189634500774950,East Midtown,10022,67.4581869128014,77.02571404619746,23798,20842,67.4581869128014,"30,896",40.75738232585172,40.7574,-73.96592008649502,-73.9659
8770736407895998495,East Harlem,10035,39.9460537463421,48.33708030938352,17034,14077,39.9460537463421,"35,240",40.796039116282806,40.7960,-73.92883361123843,-73.9288
10389287341308707756,East Harlem,10029,38.4545445128461,46.28453969722103,36206,30081,38.4545445128461,"78,225",40.789282750571395,40.7893,-73.94155210352943,-73.9416
12927689827378778439,East Flatbush (North)/East Flatbush (South),11203,30.6229162789709,37.27509046687081,27328,22451,30.6229162789709,"73,314",40.648479287043806,40.6485,-73.93281565597319,-73.9328
184882531478352418,Douglaston-Little Neck,11363,57.918612357681496,66.11422220680738,4453,3901,57.918612357681496,"6,735",40.77050595263226,40.7705,-73.75264332350663,-73.7526
2348822040072778349,Douglaston-Little Neck,11362,54.6080832655462,62.83934720744425,11375,9885,54.6080832655462,"18,102",40.758046741532404,40.7580,-73.74434955562084,-73.7443
14443501688850087734,Ditmars Steinway,11105,45.5624940094658,53.249731460756614,19271,16489,45.5624940094658,"36,190",40.7810593799046,40.7811,-73.89656419537789,-73.8966
1914168623872435582,Cypress Hills/East New York,11208,27.5068798695824,35.229357650900866,33667,26287,27.5068798695824,"95,565",40.66102169485995,40.6610,-73.86749532366912,-73.8675
13899085798675466395,Cypress Hills/East New York,11207,26.3658513957715,33.61382102416513,29927,23474,26.3658513957715,"89,032",40.6705497606979,40.6705,-73.89416465580123,-73.8942
