COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(Perc at least 1 dose mod)-alias,SUM(At least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,75.45984189439359,75.45984189439359,51733,42416,61.8696896331664,"68,557",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,63.71847021556884,63.71847021556884,19588,16076,52.2941661826365,"30,741",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,52.68446382283523,52.68446382283523,32735,27355,44.0257677676388,"62,134",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,71.3389015722671,71.3389015722671,22454,19563,62.1538670819569,"31,475",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,58.31722830678849,58.31722830678849,30678,26444,50.2686219878974,"52,605",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,56.13075403510349,56.13075403510349,27124,23528,48.689145440861,"48,323",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,57.388115628489686,57.388115628489686,20745,17903,49.5261236007159,"36,149",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,56.05080292859353,56.05080292859353,6634,5694,48.108723526592,"11,836",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,78.56666343235767,78.56666343235767,38413,34975,71.5348724011847,"48,892",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,77.5122834403933,77.5122834403933,38212,34674,70.335520674453,"49,298",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,73.84645978520427,73.84645978520427,29602,26847,66.9737148116134,"40,086",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,94.6100940542838,94.6100940542838,5273,4590,82.3554583176868,"5,573",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,49.63863745087742,49.63863745087742,5583,4856,43.1748564322874,"11,247",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,61.73157346708496,61.73157346708496,13245,10796,50.3174078633937,"21,456",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,78.10636090916424,78.10636090916424,56933,42944,58.9148571633876,"72,892",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,76.22499097605632,76.22499097605632,16441,13987,64.8475730662429,"21,569",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,43.47321462341165,43.47321462341165,13305,11104,36.281591520358,"30,605",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,63.34298060820993,63.34298060820993,23520,19400,52.2471863860235,"37,131",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,51.80352649959884,51.80352649959884,7976,6541,42.4833082790717,"15,397",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,49.80576624737691,49.80576624737691,25334,20381,40.0683398550481,"50,866",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,58.88135222438729,58.88135222438729,18129,15761,51.1903024109751,"30,789",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,43.432828881022694,43.432828881022694,11105,9273,36.2676832250089,"25,568",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,70.79940573001231,70.79940573001231,6961,6142,62.4694655931239,"9,832",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,67.1878652157365,67.1878652157365,25477,20354,53.6775055383719,"37,919",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,63.91269692110515,63.91269692110515,18413,15258,52.9614907740304,"28,810",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,65.67983077826027,65.67983077826027,22954,19721,56.4290294841017,"34,948",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,44.53159975427668,44.53159975427668,11610,9652,37.0214470997656,"26,071",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,70.81120748586626,70.81120748586626,10436,9100,61.746070153448,"14,738",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,60.69247960035125,60.69247960035125,10549,9081,52.2465074652374,"17,381",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,61.549567354684775,61.549567354684775,36146,29893,50.901931525856,"58,727",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,66.45699440759327,66.45699440759327,15766,13041,54.9705482728291,"23,724",40.676444415658594,40.6764,-73.84322242266497,-73.8432
14079738205464829344,Ozone Park,11416,64.4238608113531,64.4238608113531,12752,10339,52.2332416035586,"19,794",40.68421767075783,40.6842,-73.85148534986325,-73.8515
13226122797477619450,Ocean Hill-Brownsville,11212,42.29050915234687,42.29050915234687,23404,18725,33.835659881973,"55,341",40.663205105824936,40.6632,-73.91367297533805,-73.9137
14285113515916235053,New Dorp/Todt Hill,10304,59.40586954892636,59.40586954892636,19227,16425,50.748499887716,"32,365",40.610997855936304,40.6110,-74.09249648485172,-74.0925
7871365334414836712,Mott Haven/Port Morris,10454,49.73466692232263,49.73466692232263,13626,10947,39.9563627475903,"27,397",40.803927383985425,40.8039,-73.91259257607629,-73.9126
5884942442616128710,Mott Haven,10455,49.48414899842118,49.48414899842118,15129,12186,39.8581426197872,"30,573",40.81439773644144,40.8144,-73.90969324670235,-73.9097
