Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2111,2111
2020-12-16,12/16,6620,6620
2020-12-17,12/17,11108,11108
2020-12-18,12/18,16881,16881
2020-12-19,12/19,18566,18566
2020-12-20,12/20,19669,19669
2020-12-21,12/21,25938,25938
2020-12-22,12/22,35653,35653
2020-12-23,12/23,49873,49873
2020-12-24,12/24,57107,57107
2020-12-25,12/25,57286,57286
2020-12-26,12/26,61634,61634
2020-12-27,12/27,65471,65471
2020-12-28,12/28,76416,76416
2020-12-29,12/29,87089,87089
2020-12-30,12/30,99887,99887
2020-12-31,12/31,107114,107114
2021-01-01,1/1,107276,107276
2021-01-02,1/2,111077,111077
2021-01-03,1/3,114614,114614
2021-01-04,1/4,127566,127566
2021-01-05,1/5,143535,143535
2021-01-06,1/6,164938,164938
2021-01-07,1/7,186352,186352
2021-01-08,1/8,208139,208139
2021-01-09,1/9,217224,217224
2021-01-10,1/10,225995,225995
2021-01-11,1/11,258899,258899
2021-01-12,1/12,294517,294517
2021-01-13,1/13,335282,335282
2021-01-14,1/14,375995,375995
2021-01-15,1/15,408297,408297
2021-01-16,1/16,440586,440586
2021-01-17,1/17,465826,465826
2021-01-18,1/18,494888,494888
2021-01-19,1/19,538084,538084
2021-01-20,1/20,582320,582320
2021-01-21,1/21,615377,615377
2021-01-22,1/22,643851,643851
2021-01-23,1/23,662339,662339
2021-01-24,1/24,672678,672678
2021-01-25,1/25,696697,696697
2021-01-26,1/26,723556,723556
2021-01-27,1/27,756010,756010
2021-01-28,1/28,797829,797829
2021-01-29,1/29,840393,840393
2021-01-30,1/30,862313,862313
2021-01-31,1/31,877906,877906
2021-02-01,2/1,884204,884204
2021-02-02,2/2,896029,896029
2021-02-03,2/3,932374,932374
2021-02-04,2/4,977883,977883
2021-02-05,2/5,1024263,1024263
2021-02-06,2/6,1057858,1057858
2021-02-07,2/7,1077845,1077845
2021-02-08,2/8,1117420,1117420
2021-02-09,2/9,1161923,1161923
2021-02-10,2/10,1209361,1209361
2021-02-11,2/11,1269289,1269289
2021-02-12,2/12,1336255,1336255
2021-02-13,2/13,1388090,1388090
2021-02-14,2/14,1427359,1427359
2021-02-15,2/15,1449858,1449858
2021-02-16,2/16,1489755,1489755
2021-02-17,2/17,1527066,1527066
2021-02-18,2/18,1562803,1562803
2021-02-19,2/19,1598934,1598934
2021-02-20,2/20,1635016,1635016
2021-02-21,2/21,1658411,1658411
2021-02-22,2/22,1682461,1682461
2021-02-23,2/23,1720954,1720954
2021-02-24,2/24,1775503,1775503
2021-02-25,2/25,1858488,1858488
2021-02-26,2/26,1950610,1950610
2021-02-27,2/27,2023119,2023119
2021-02-28,2/28,2080477,2080477
2021-03-01,3/1,2131016,2131016
2021-03-02,3/2,2189007,2189007
2021-03-03,3/3,2251630,2251630
2021-03-04,3/4,2332277,2332277
2021-03-05,3/5,2416803,2416803
2021-03-06,3/6,2486629,2486629
2021-03-07,3/7,2542864,2542864
2021-03-08,3/8,2604437,2604437
2021-03-09,3/9,2662263,2662263
2021-03-10,3/10,2731847,2731847
2021-03-11,3/11,2814286,2814286
2021-03-12,3/12,2896770,2896770
2021-03-13,3/13,2966096,2966096
2021-03-14,3/14,3015172,3015172
2021-03-15,3/15,3068268,3068268
2021-03-16,3/16,3129671,3129671
2021-03-17,3/17,3199480,3199480
2021-03-18,3/18,3280063,3280063
2021-03-19,3/19,3359221,3359221
2021-03-20,3/20,3424795,3424795
2021-03-21,3/21,3472629,3472629
2021-03-22,3/22,3533505,3533505
2021-03-23,3/23,3604430,3604430
2021-03-24,3/24,3684519,3684519
2021-03-25,3/25,3778572,3778572
2021-03-26,3/26,3870219,3870219
2021-03-27,3/27,3949068,3949068
2021-03-28,3/28,4008023,4008023
2021-03-29,3/29,4081477,4081477
2021-03-30,3/30,4162009,4162009
2021-03-31,3/31,4257482,4257482
2021-04-01,4/1,4366506,4366506
2021-04-02,4/2,4468306,4468306
2021-04-03,4/3,4548339,4548339
2021-04-04,4/4,4586709,4586709
2021-04-05,4/5,4639065,4639065
2021-04-06,4/6,4697816,4697816
2021-04-07,4/7,4738246,4738246
