Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-04,5/4,31641,31641
2021-05-03,5/3,35945,35945
2021-05-02,5/2,22278,22278
2021-05-01,5/1,37753,37753
2021-04-30,4/30,63279,63279
2021-04-29,4/29,68635,68635
2021-04-28,4/28,65721,65721
2021-04-27,4/27,57231,57231
2021-04-26,4/26,48802,48802
2021-04-25,4/25,38351,38351
2021-04-24,4/24,61487,61487
2021-04-23,4/23,70036,70036
2021-04-22,4/22,73440,73440
2021-04-21,4/21,70364,70364
2021-04-20,4/20,66265,66265
2021-04-19,4/19,61004,61004
2021-04-18,4/18,39414,39414
2021-04-17,4/17,69069,69069
2021-04-16,4/16,85369,85369
2021-04-15,4/15,88266,88266
2021-04-14,4/14,82643,82643
2021-04-13,4/13,76825,76825
2021-04-12,4/12,79054,79054
2021-04-11,4/11,62976,62976
2021-04-10,4/10,93428,93428
2021-04-09,4/9,113404,113404
2021-04-08,4/8,115668,115668
2021-04-07,4/7,104289,104289
2021-04-06,4/6,97036,97036
2021-04-05,4/5,84009,84009
2021-04-04,4/4,52123,52123
2021-04-03,4/3,86003,86003
2021-04-02,4/2,107063,107063
2021-04-01,4/1,113604,113604
2021-03-31,3/31,99491,99491
2021-03-30,3/30,84226,84226
2021-03-29,3/29,74582,74582
2021-03-28,3/28,60401,60401
2021-03-27,3/27,81844,81844
2021-03-26,3/26,95375,95375
2021-03-25,3/25,96433,96433
2021-03-24,3/24,81775,81775
2021-03-23,3/23,73446,73446
2021-03-22,3/22,62841,62841
2021-03-21,3/21,48349,48349
2021-03-20,3/20,67436,67436
2021-03-19,3/19,81143,81143
2021-03-18,3/18,80801,80801
2021-03-17,3/17,69877,69877
2021-03-16,3/16,62093,62093
2021-03-15,3/15,53918,53918
2021-03-14,3/14,50113,50113
2021-03-13,3/13,71452,71452
2021-03-12,3/12,84531,84531
2021-03-11,3/11,84421,84421
2021-03-10,3/10,70348,70348
2021-03-09,3/9,58288,58288
2021-03-08,3/8,61933,61933
2021-03-07,3/7,56548,56548
2021-03-06,3/6,70474,70474
2021-03-05,3/5,86680,86680
2021-03-04,3/4,82226,82226
2021-03-03,3/3,63422,63422
2021-03-02,3/2,58359,58359
2021-03-01,3/1,50791,50791
2021-02-28,2/28,57913,57913
2021-02-27,2/27,73227,73227
2021-02-26,2/26,93222,93222
2021-02-25,2/25,83537,83537
2021-02-24,2/24,55610,55610
2021-02-23,2/23,38623,38623
2021-02-22,2/22,24222,24222
2021-02-21,2/21,23599,23599
2021-02-20,2/20,36955,36955
2021-02-19,2/19,36519,36519
2021-02-18,2/18,36140,36140
2021-02-17,2/17,37546,37546
2021-02-16,2/16,40158,40158
2021-02-15,2/15,22682,22682
2021-02-14,2/14,39554,39554
2021-02-13,2/13,52422,52422
2021-02-12,2/12,67907,67907
2021-02-11,2/11,60371,60371
2021-02-10,2/10,47869,47869
2021-02-09,2/9,44610,44610
2021-02-08,2/8,39647,39647
2021-02-07,2/7,20023,20023
2021-02-06,2/6,33699,33699
2021-02-05,2/5,46593,46593
2021-02-04,2/4,45834,45834
2021-02-03,2/3,36593,36593
2021-02-02,2/2,11950,11950
2021-02-01,2/1,6333,6333
2021-01-31,1/31,15609,15609
2021-01-30,1/30,21939,21939
2021-01-29,1/29,42600,42600
2021-01-28,1/28,41836,41836
2021-01-27,1/27,32469,32469
2021-01-26,1/26,26863,26863
2021-01-25,1/25,24021,24021
2021-01-24,1/24,10341,10341
2021-01-23,1/23,18491,18491
2021-01-22,1/22,28496,28496
2021-01-21,1/21,33055,33055
2021-01-20,1/20,43839,43839
2021-01-19,1/19,43225,43225
2021-01-18,1/18,29081,29081
2021-01-17,1/17,25281,25281
2021-01-16,1/16,32293,32293
2021-01-15,1/15,32373,32373
2021-01-14,1/14,40714,40714
2021-01-13,1/13,40803,40803
2021-01-12,1/12,35626,35626
2021-01-11,1/11,32906,32906
2021-01-10,1/10,8787,8787
2021-01-09,1/9,9090,9090
2021-01-08,1/8,21800,21800
2021-01-07,1/7,21445,21445
2021-01-06,1/6,21498,21498
2021-01-05,1/5,16019,16019
2021-01-04,1/4,12964,12964
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7233,7233
2020-12-30,12/30,12797,12797
2020-12-29,12/29,10673,10673
2020-12-28,12/28,10948,10948
2020-12-27,12/27,3838,3838
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7237,7237
2020-12-23,12/23,14250,14250
2020-12-22,12/22,9752,9752
2020-12-21,12/21,6270,6270
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5784,5784
2020-12-17,12/17,4493,4493
2020-12-16,12/16,4510,4510
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
