Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,18.99653480038735,34.15029696979451,34.15029696979451,% At Least 1 Dose
Queens,Queens,Borough,Borough,14.91573658244275,31.26471767977278,31.26471767977278,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,21.110554837983724,37.89317059608477,37.89317059608477,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,12.640314953130764,26.63277934510773,26.63277934510773,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,15.682870726596423,26.493261011247892,26.493261011247892,% At Least 1 Dose
85+,85+,Age,Age,27.307782583911745,40.864992343716814,40.864992343716814,% At Least 1 Dose
75-84,75-84,Age,Age,35.21399275123407,53.17808104250962,53.17808104250962,% At Least 1 Dose
65-74,65-74,Age,Age,35.282104076962085,56.8497276692241,56.8497276692241,% At Least 1 Dose
55-64,55-64,Age,Age,17.04002796834916,40.34109020016473,40.34109020016473,% At Least 1 Dose
45-54,45-54,Age,Age,13.33739265256734,29.2768997176309,29.2768997176309,% At Least 1 Dose
35-44,35-44,Age,Age,11.653645947862005,24.099529776428305,24.099529776428305,% At Least 1 Dose
25-34,25-34,Age,Age,9.644341608372049,19.53644236465752,19.53644236465752,% At Least 1 Dose
18-24,18-24,Age,Age,4.708155758052776,11.357359665686463,11.357359665686463,% At Least 1 Dose
Male,Male,Sex,Sex,14.499233279468452,28.600481192113875,28.600481192113875,% At Least 1 Dose
Female,Female,Sex,Sex,16.881191817599163,31.707047130968313,31.707047130968313,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,8.071610004695396,16.559988425143004,16.559988425143004,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,8.275427425119187,17.63836058687183,17.63836058687183,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,13.99874049178201,32.484236544732106,32.484236544732106,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,15.285333626526064,32.54790770909666,32.54790770909666,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,16.583090390999384,29.246333827084577,29.246333827084577,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,35.302470068275206,67.95415817352904,67.95415817352904,% At Least 1 Dose
