Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,352916,0.1030396335704198,0.1030396335704198
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,5341,0.001559392838238,0.001559392838238
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,9978,0.0029132412918815,0.0029132412918815
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,464231,0.1355398795521585,0.1355398795521585
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,741586,0.216518235786854,0.216518235786854
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,729060,0.2128610639666388,0.2128610639666388
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1121939,0.3275685529938095,0.3275685529938095
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,63977,0.1060744479244213,0.1060744479244213
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,853,0.0014142817587497,0.0014142817587497
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1502,0.0024903296619485,0.0024903296619485
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,48376,0.0802078480202542,0.0802078480202542
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,73283,0.1215038805702888,0.1215038805702888
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,79782,0.1322792816841393,0.1322792816841393
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,335360,0.5560299303801982,0.5560299303801982
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,262179,0.1008309411949308,0.1008309411949308
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,4265,0.0016402685348421,0.0016402685348421
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,7452,0.0028659510250044,0.0028659510250044
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,326615,0.1256122643628297,0.1256122643628297
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,587251,0.2258497860151436,0.2258497860151436
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,588960,0.2265070471935832,0.2265070471935832
18 to 64 years,18 to 64 years,White,White,NYC,NYC,823462,0.3166937416736662,0.3166937416736662
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,46257,0.102747667703243,0.102747667703243
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,707,0.0015704131497112,0.0015704131497112
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1118,0.00248334073745,0.00248334073745
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,38830,0.0862505553087517,0.0862505553087517
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,62331,0.1384517992003554,0.1384517992003554
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,65857,0.1462838738338516,0.1462838738338516
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,235100,0.522212350066637,0.522212350066637
65+ years,65+ years,Other,Other,NYC,NYC,86921,0.1090334121094436,0.1090334121094436
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,1013,0.0012707038168782,0.0012707038168782
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2274,0.0028524980055093,0.0028524980055093
65+ years,65+ years,Black,Black,NYC,NYC,134384,0.1685708407969935,0.1685708407969935
65+ years,65+ years,Latino,Latino,NYC,NYC,148183,0.1858802603123949,0.1858802603123949
65+ years,65+ years,Asian,Asian,NYC,NYC,132383,0.1660607930797445,0.1660607930797445
65+ years,65+ years,White,White,NYC,NYC,292038,0.366331491879036,0.366331491879036
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,17354,0.1168611659180746,0.1168611659180746
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,136,0.0009158187486953,0.0009158187486953
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,373,0.0025117675975246,0.0025117675975246
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,9290,0.0625585012895536,0.0625585012895536
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,10251,0.0690298381829079,0.0690298381829079
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,13200,0.0888882903145433,0.0888882903145433
65+ years,65+ years,White,White,Non- NYC,Non- NYC,97897,0.6592346179487006,0.6592346179487006
