Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,152277,98079,26.282796155781448,40.80654727529778,40.80654727529778,% At Least 1 Dose
Queens,Queens,Borough,Borough,704079,430980,23.691164078783437,38.703538710440775,38.703538710440775,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,647710,413930,29.913569051159477,46.80819899530477,46.80819899530477,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,665420,395062,19.903974275633725,33.52512406278557,33.52512406278557,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,348888,225068,20.99956777043522,32.552371728951265,32.552371728951265,% At Least 1 Dose
85+,85+,Age,Age,79391,62211,34.76679073198538,44.3678816126256,44.3678816126256,% At Least 1 Dose
75-84,75-84,Age,Age,220038,172344,45.036698947858596,57.500029958042695,57.500029958042695,% At Least 1 Dose
65-74,65-74,Age,Age,447193,339723,47.262849630283945,62.21426136798382,62.21426136798382,% At Least 1 Dose
55-64,55-64,Age,Age,496201,282860,28.316456706011994,49.673528013787234,49.673528013787234,% At Least 1 Dose
45-54,45-54,Age,Age,399814,223805,21.769072072694236,38.8891212514116,38.8891212514116,% At Least 1 Dose
35-44,35-44,Age,Age,374904,208944,18.378300404782806,32.97581330382635,32.97581330382635,% At Least 1 Dose
25-34,25-34,Age,Age,394537,218349,14.71652943083469,26.59144476069607,26.59144476069607,% At Least 1 Dose
18-24,18-24,Age,Age,106296,54883,7.788459247949198,15.084489991800885,15.084489991800885,% At Least 1 Dose
Male,Male,Sex,Sex,1120249,680799,21.901870483206697,36.039342753061945,36.039342753061945,% At Least 1 Dose
Female,Female,Sex,Sex,1369150,862601,24.475886629373715,38.848969776996576,38.848969776996576,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,302166,186923,12.865995471123219,20.798223800856064,20.798223800856064,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,427875,245797,13.475783804562122,23.458182953319277,23.458182953319277,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,436644,244696,24.141148221020853,43.078299293079695,43.078299293079695,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,6428,3402,22.648390678328255,42.79360825405468,42.79360825405468,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,808708,529596,23.78477621373438,36.32002281410113,36.32002281410113,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3511,2002,49.596873738025934,86.98033151558894,86.98033151558894,% At Least 1 Dose
