Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,199503,156291,32.82438259094432,41.89980741079886,41.89980741079886,% At Least 1 Dose
Queens,Queens,Borough,Borough,1087162,778013,34.29893002526542,47.9278538586471,47.9278538586471,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,905508,698930,43.37354165316226,56.19316520291253,56.19316520291253,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,993626,714496,27.911057567088545,38.81498634863725,38.81498634863725,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,499814,374762,26.372735351127574,35.17288931852343,35.17288931852343,% At Least 1 Dose
85+,85+,Age,Age,93335,80618,45.053593982273185,52.16052487453755,52.16052487453755,% At Least 1 Dose
75-84,75-84,Age,Age,252229,221475,57.875544837516735,65.91213815925954,65.91213815925954,% At Least 1 Dose
65-74,65-74,Age,Age,520033,451702,62.841561223992834,72.34788778441687,72.34788778441687,% At Least 1 Dose
55-64,55-64,Age,Age,657130,519844,52.04037375337658,65.7837559047644,65.7837559047644,% At Least 1 Dose
45-54,45-54,Age,Age,593602,435047,42.316165849777306,57.73849878463593,57.73849878463593,% At Least 1 Dose
35-44,35-44,Age,Age,594573,418432,36.80444997211731,52.29746346663664,52.29746346663664,% At Least 1 Dose
25-34,25-34,Age,Age,677769,450361,30.353932974275782,45.681030990787214,45.681030990787214,% At Least 1 Dose
18-24,18-24,Age,Age,257533,133534,18.949840883618755,36.54656770770732,36.54656770770732,% At Least 1 Dose
<18,<18,Age,Age,39409,11479,0.673601938005001,2.3125689323842744,2.3125689323842744,% At Least 1 Dose
Male,Male,Sex,Sex,1677634,1218834,30.635965729323566,42.16811947348697,42.16811947348697,% At Least 1 Dose
Female,Female,Sex,Sex,1965546,1471202,33.75574289309059,45.0981343286256,45.0981343286256,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,701097,480031,38.91169399226031,56.83147947297513,56.83147947297513,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,441241,322863,17.682906791803042,24.166359959865225,24.166359959865225,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,688918,476813,19.673830969759738,28.42551751740187,28.42551751740187,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9652,6494,34.425360474978795,51.16624257845632,51.16624257845632,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1092393,869628,32.424898656811244,40.73090139509078,40.73090139509078,% At Least 1 Dose
