Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.2919736825693084
Latino,Latino,STATEN ISLAND,Staten Island,0.1791231161501864
Black,Black,STATEN ISLAND,Staten Island,0.1705355427970946
Asian,Asian,STATEN ISLAND,Staten Island,0.3635840742094864
White,White,QUEENS,Queens,0.2623342058056019
Latino,Latino,QUEENS,Queens,0.1803905901173845
Black,Black,QUEENS,Queens,0.1574618075639906
Asian,Asian,QUEENS,Queens,0.3365597530838497
White,White,MANHATTAN,Manhattan,0.3640174684389713
Latino,Latino,MANHATTAN,Manhattan,0.2210422815898128
Black,Black,MANHATTAN,Manhattan,0.2081610449169381
Asian,Asian,MANHATTAN,Manhattan,0.3083791617384577
White,White,BROOKLYN,Brooklyn,0.2472723712212825
Latino,Latino,BROOKLYN,Brooklyn,0.1617056583938043
Black,Black,BROOKLYN,Brooklyn,0.1586399974526636
Asian,Asian,BROOKLYN,Brooklyn,0.3123731131281876
White,White,THE BRONX,Bronx,0.2801777635883929
Latino,Latino,THE BRONX,Bronx,0.1568263765065352
Black,Black,THE BRONX,Bronx,0.1644095140823831
Asian,Asian,THE BRONX,Bronx,0.2984481771418798
White,White,%all%,%all%,0.2924633382708461
Latino,Latino,%all%,%all%,0.1763836058687181
Black,Black,%all%,%all%,0.1655998842514304
Asian,Asian,%all%,%all%,0.3248423654473198
