Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.3218442920451685
STATEN ISLAND,Staten Island,F,Female,0.3565080271447243
QUEENS,Queens,M,Male,0.2889054203489203
QUEENS,Queens,F,Female,0.3237961794308787
MANHATTAN,Manhattan,M,Male,0.3565249031435559
MANHATTAN,Manhattan,F,Female,0.3908225682264149
BROOKLYN,Brooklyn,M,Male,0.2453986254185516
BROOKLYN,Brooklyn,F,Female,0.2757850116232809
THE BRONX,Bronx,M,Male,0.2504379043423095
THE BRONX,Bronx,F,Female,0.27552436473877
%all%,%all%,M,Male,0.2860048119211394
%all%,%all%,F,Female,0.3170704713096848
