COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,70.9584777344551,48647,70.9584777344551,37336,54.4597965895865,"68,557",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,59.11231574215423,18172,59.11231574215423,13847,45.0433764077487,"30,741",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,49.79233058655495,30938,49.79233058655495,24002,38.6293722521977,"62,134",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,68.4350200350331,21540,68.4350200350331,17986,57.1435594405806,"31,475",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,55.3289408402564,29106,55.3289408402564,24231,46.061827990801,"52,605",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,53.21495133507913,25715,53.21495133507913,21494,44.4799597120821,"48,323",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,54.746242867573436,19790,54.746242867573436,16582,45.8717634780244,"36,149",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,53.465402612622825,6328,53.465402612622825,5256,44.408052486085,"11,836",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,76.9754088011033,37635,76.9754088011033,33236,67.9780705968771,"48,892",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,75.75561963165833,37346,75.75561963165833,32856,66.6477437641987,"49,298",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,72.32223213407396,28991,72.32223213407396,25536,63.7032361690081,"40,086",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,91.57783426001603,5104,91.57783426001603,4274,76.6856707733755,"5,573",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,47.3269688610103,5323,47.3269688610103,4550,40.4542003226746,"11,247",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,58.01695934452802,12448,58.01695934452802,9348,43.5686484537796,"21,456",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,72.32243212281824,52717,72.32243212281824,35384,48.5432960569418,"72,892",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,72.37688304404935,15611,72.37688304404935,12578,58.3150621310648,"21,569",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,40.705697690978,12458,40.705697690978,9853,32.194031092407,"30,605",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,59.289783932386975,22015,59.289783932386975,17033,45.8724910161411,"37,131",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,48.20533772317234,7422,48.20533772317234,5722,37.1639642215026,"15,397",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,45.79126499699625,23292,45.79126499699625,17994,35.3755805579577,"50,866",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,56.263537127423525,17323,56.263537127423525,14646,47.5688832631903,"30,789",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,40.56989950318311,10373,40.56989950318311,8247,32.2548887691845,"25,568",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,68.20583462512032,6706,68.20583462512032,5627,57.2314690479499,"9,832",40.75995471955905,40.7600,-73.95193639461722,-73.9519
