Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4343788061460514
Latino,Latino,STATEN ISLAND,Staten Island,0.3789241560615756
Black,Black,STATEN ISLAND,Staten Island,0.3224931912671314
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.7198002152693628
White,White,QUEENS,Queens,0.4576797756721568
Latino,Latino,QUEENS,Queens,0.459861044067774
Black,Black,QUEENS,Queens,0.3050862237258916
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.7165738470033276
White,White,MANHATTAN,Manhattan,0.6097145473671578
Latino,Latino,MANHATTAN,Manhattan,0.4491703405672889
Black,Black,MANHATTAN,Manhattan,0.3896995547688616
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.7118914392883366
White,White,BROOKLYN,Brooklyn,0.4552635642029272
Latino,Latino,BROOKLYN,Brooklyn,0.3871912944003911
Black,Black,BROOKLYN,Brooklyn,0.3063264737459462
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.7353533967571728
White,White,THE BRONX,Bronx,0.4575305015395196
Latino,Latino,THE BRONX,Bronx,0.343534629622127
Black,Black,THE BRONX,Bronx,0.3123004983231365
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5710392632882724
White,White,%all%,%all%,0.5009841061190176
Latino,Latino,%all%,%all%,0.403200591810491
Black,Black,%all%,%all%,0.3173077174126429
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.7140241717487316
