Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,69158,43711,0.3875693461476539
STATEN ISLAND,Staten Island,F,Female,82487,53903,0.4236017060166355
QUEENS,Queens,M,Male,317443,191296,0.3631917570979127
QUEENS,Queens,F,Female,376037,232159,0.3978712464084846
MANHATTAN,Manhattan,M,Male,291012,180693,0.4486054726698598
MANHATTAN,Manhattan,F,Female,349947,229001,0.4760861939581348
BROOKLYN,Brooklyn,M,Male,290376,167866,0.3162869626691109
BROOKLYN,Brooklyn,F,Female,365289,220345,0.342427798756808
THE BRONX,Bronx,M,Male,152260,97233,0.3112764411323994
THE BRONX,Bronx,F,Female,195390,127193,0.3353602214336956
%all%,%all%,M,Male,1120249,680799,0.3603934275306203
%all%,%all%,F,Female,1369150,862601,0.3884896977699677
