Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5814,5143,0.5870948197515904
STATEN ISLAND,Staten Island,75to84,75 to 84,16838,15108,0.7404899072078808
STATEN ISLAND,Staten Island,65to74,65 to 74,36141,32203,0.7745772519771106
STATEN ISLAND,Staten Island,55to64,55 to 64,43384,36210,0.6560411311053984
STATEN ISLAND,Staten Island,45to54,45 to 54,33953,26636,0.5290936857196284
STATEN ISLAND,Staten Island,35to44,35 to 44,26778,20223,0.4525298272890122
STATEN ISLAND,Staten Island,25to34,25 to 34,23031,16599,0.3558614935335837
STATEN ISLAND,Staten Island,18to24,18 to 24,13216,8026,0.3331311927844564
STATEN ISLAND,Staten Island,<18,<18,2468,1078,0.0239669957752808
STATEN ISLAND,Staten Island,%all%,%all%,201623,161226,0.423450518016646
QUEENS,Queens,85andUp,85+,27950,24186,0.5414023052516426
QUEENS,Queens,75to84,75 to 84,73076,63992,0.6658656350062274
QUEENS,Queens,65to74,65 to 74,156527,135562,0.7499180298156508
QUEENS,Queens,55to64,55 to 64,211446,166032,0.7006545786628527
QUEENS,Queens,45to54,45 to 54,190937,137980,0.6334041446243494
QUEENS,Queens,35to44,35 to 44,179933,124206,0.5830447811631004
QUEENS,Queens,25to34,25 to 34,175464,115556,0.4840411103444
QUEENS,Queens,18to24,18 to 24,74246,38351,0.4249280462754841
QUEENS,Queens,<18,<18,13665,4211,0.0304227122955093
QUEENS,Queens,%all%,%all%,1103244,810076,0.486368335186034
MANHATTAN,Manhattan,85andUp,85+,24758,22384,0.6216600752195784
MANHATTAN,Manhattan,75to84,75 to 84,64346,59316,0.7513713791147522
MANHATTAN,Manhattan,65to74,65 to 74,116266,106482,0.786607300984694
MANHATTAN,Manhattan,55to64,55 to 64,134303,113876,0.7385618634717228
MANHATTAN,Manhattan,45to54,45 to 54,128490,102973,0.665174958478529
MANHATTAN,Manhattan,35to44,35 to 44,144505,111860,0.6230093917227602
MANHATTAN,Manhattan,25to34,25 to 34,214951,156319,0.5978543211967162
MANHATTAN,Manhattan,18to24,18 to 24,77979,48074,0.541568379287614
MANHATTAN,Manhattan,<18,<18,9596,4765,0.042149303604104
MANHATTAN,Manhattan,%all%,%all%,915194,726049,0.5679424989548973
BROOKLYN,Brooklyn,85andUp,85+,22459,18691,0.4405453118870145
BROOKLYN,Brooklyn,75to84,75 to 84,62278,53148,0.5838872690111662
BROOKLYN,Brooklyn,65to74,65 to 74,136138,115708,0.647526909338242
BROOKLYN,Brooklyn,55to64,55 to 64,164470,127828,0.5756032687630148
BROOKLYN,Brooklyn,45to54,45 to 54,155381,113808,0.5260625799855096
BROOKLYN,Brooklyn,35to44,35 to 44,177583,128740,0.496061298486533
BROOKLYN,Brooklyn,25to34,25 to 34,213349,147678,0.4538944475056432
BROOKLYN,Brooklyn,18to24,18 to 24,66375,34880,0.3193750073513823
BROOKLYN,Brooklyn,<18,<18,10006,3550,0.0173998261743576
BROOKLYN,Brooklyn,%all%,%all%,1008039,744031,0.3937801549511837
THE BRONX,Bronx,85andUp,85+,13067,11302,0.4911634022497432
THE BRONX,Bronx,75to84,75 to 84,37247,32802,0.6434027868005974
THE BRONX,Bronx,65to74,65 to 74,78675,68328,0.7467212314968424
THE BRONX,Bronx,55to64,55 to 64,111109,89601,0.6798486540945594
THE BRONX,Bronx,45to54,45 to 54,93653,70231,0.53843365675719
THE BRONX,Bronx,35to44,35 to 44,75358,53061,0.4205479571356474
THE BRONX,Bronx,25to34,25 to 34,61906,41675,0.2728297053922546
THE BRONX,Bronx,18to24,18 to 24,32149,17459,0.2321938727109591
THE BRONX,Bronx,<18,<18,5281,1642,0.0151211401460028
THE BRONX,Bronx,%all%,%all%,508445,386101,0.3578026967918226
%all%,%all%,85andUp,85+,94048,81706,0.5255898691166774
%all%,%all%,75to84,75 to 84,253785,224366,0.6631874995637982
%all%,%all%,65to74,65 to 74,523747,458283,0.7286458586940644
%all%,%all%,55to64,55 to 64,664712,533547,0.6654277229006104
%all%,%all%,45to54,45 to 54,602414,451628,0.5859562468935022
%all%,%all%,35to44,35 to 44,604157,438090,0.5314045312453274
%all%,%all%,25to34,25 to 34,688701,477827,0.4641783811945684
%all%,%all%,18to24,18 to 24,263965,146790,0.3745933431818435
%all%,%all%,<18,<18,41016,15246,0.0240686968283065
%all%,%all%,%all%,%all%,3736545,2827483,0.448198035293326
