COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,57.07445462021023,47970,57.07445462021023,34761,41.3584556400485,"84,048",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,44.629771429394964,17874,44.629771429394964,12759,31.8580761814731,"40,049",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,34.98676607977987,30337,34.98676607977987,22023,25.3984754384083,"86,710",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,55.19857604274818,21370,55.19857604274818,17088,44.1381968843463,"38,715",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,45.206178120507275,28503,45.206178120507275,23147,36.711483175644,"63,051",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,43.50641210206824,25459,43.50641210206824,20494,35.0218158458615,"58,518",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,44.488597270507675,19560,44.488597270507675,15800,35.9365969771994,"43,966",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,41.61613042208037,6239,41.61613042208037,5040,33.6184159844983,"14,992",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,65.01226663125988,37975,65.01226663125988,32308,55.3105019176496,"58,412",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,64.05868920363315,37512,64.05868920363315,31665,54.0738535304181,"58,559",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,61.63778899406792,29198,61.63778899406792,24586,51.9017288926692,"47,370",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,73.46115682726216,5136,73.46115682726216,4077,58.3140841870615,"6,991",40.713194568962514,40.7132,-74.00729622101159,-74.0073
3798730894905548862,Tottenville,10307,35.514645443726714,5296,35.514645443726714,4404,29.5329491189903,"14,912",40.5061206239466,40.5061,-74.23525083514616,-74.2353
5065444492860111041,Sunset Park,11232,45.145551134482865,12228,45.145551134482865,8578,31.6698182557731,"27,086",40.65731922766068,40.6573,-74.00812221507654,-74.0081
4694937959181206742,Sunset Park,11220,53.95981601949932,51041,53.95981601949932,31535,33.3383514855687,"94,591",40.6408717549274,40.6409,-74.02102099739437,-74.0210
3040728038815490374,Sunnyside,11104,60.62017334006414,15420,60.62017334006414,11783,46.3221467228259,"25,437",40.745033312307186,40.7450,-73.91815956396815,-73.9182
14030579851748726628,St. Albans,11412,32.143771894903196,12246,32.143771894903196,9185,24.109141340412,"38,098",40.69856602634196,40.6986,-73.7599503112927,-73.7600
10738340961163910044,South Ozone Park,11420,45.383034461323376,21709,45.383034461323376,15918,33.2768502720229,"47,835",40.674037074484374,40.6740,-73.81729863063045,-73.8173
4916153295976294626,South Jamaica/South Ozone Park,11436,36.492380302936525,7314,36.492380302936525,5287,26.3788918049802,"20,043",40.674592633509185,40.6746,-73.79777598784943,-73.7978
11217976855247526323,Soundview,10472,33.572070122351164,22822,33.572070122351164,16934,24.9105878298087,"67,979",40.829926449247125,40.8299,-73.86566773866045,-73.8657
9931294169958654363,Silver Lake/St. George,10301,44.189735669584074,17192,44.189735669584074,13995,35.9722749357742,"38,905",40.62567576803685,40.6257,-74.09347442720504,-74.0935
6188377445896060266,Rosedale,11422,31.4921168718765,10200,31.4921168718765,7741,23.9000467358035,"32,389",40.645544301933455,40.6455,-73.7445626367344,-73.7446
4739689513597918076,Roosevelt Island,10044,57.043260111647434,6658,57.043260111647434,5271,45.1599615572984,"11,672",40.75995471955905,40.7600,-73.95193639461722,-73.9519
16815596094504930884,Richmond Hill/South Ozone Park,11419,47.786906619044174,23179,47.786906619044174,16242,33.4852641316069,"48,505",40.68983738037997,40.6898,-73.82087011633175,-73.8209
9321515615274117885,Richmond Hill,11418,45.043846954969375,16930,45.043846954969375,12281,32.6747480480791,"37,586",40.70221668606222,40.7022,-73.83479560098314,-73.8348
5784048243839388641,Rego Park,11374,52.49585693102258,21730,52.49585693102258,16548,39.977056626533,"41,394",40.72567291835462,40.7257,-73.86146755396418,-73.8615
7616793812403250187,Queens Village,11429,33.37758285876033,10737,33.37758285876033,8114,25.2235920011159,"32,168",40.71986048491059,40.7199,-73.72636108466752,-73.7264
17835190518488896391,Queens Village,11428,53.53340555171972,9947,53.53340555171972,7788,41.9139602329137,"18,581",40.72232993410964,40.7223,-73.74088235532724,-73.7409
9816757010559144864,Port Richmond/Randall Manor/West Brighton,10310,42.72755610219928,10016,42.72755610219928,8017,34.199961788272,"23,442",40.635693140276466,40.6357,-74.11833890866924,-74.1183
16781524348797058241,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,44.001379893458804,33140,44.001379893458804,25406,33.7326209285822,"75,316",40.84158678902079,40.8416,-73.85919808163474,-73.8592
980153071589891186,Ozone Park,11417,47.09204360184644,14618,47.09204360184644,10576,34.0706973001182,"31,041",40.676444415658594,40.6764,-73.84322242266497,-73.8432
14079738205464829344,Ozone Park,11416,43.92636406046464,11592,43.92636406046464,8069,30.5764174951595,"26,390",40.68421767075783,40.6842,-73.85148534986325,-73.8515
13226122797477619450,Ocean Hill-Brownsville,11212,28.51947906560734,21095,28.51947906560734,15372,20.7822437637599,"73,967",40.663205105824936,40.6632,-73.91367297533805,-73.9137
14285113515916235053,New Dorp/Todt Hill,10304,43.16866140897622,18082,43.16866140897622,14202,33.9056149391815,"41,887",40.610997855936304,40.6110,-74.09249648485172,-74.0925
7871365334414836712,Mott Haven/Port Morris,10454,32.310571021662994,12223,32.310571021662994,8923,23.5872719648449,"37,830",40.803927383985425,40.8039,-73.91259257607629,-73.9126
