Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3564512092382205
Latino,Latino,STATEN ISLAND,Staten Island,0.2689929826936529
Black,Black,STATEN ISLAND,Staten Island,0.2449810881582776
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5840905094085234
White,White,QUEENS,Queens,0.3889699807143717
Latino,Latino,QUEENS,Queens,0.3504216518414076
Black,Black,QUEENS,Queens,0.248496259191871
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5955959744950204
White,White,MANHATTAN,Manhattan,0.5465954871606544
Latino,Latino,MANHATTAN,Manhattan,0.3652852263728195
Black,Black,MANHATTAN,Manhattan,0.3273835841113946
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.640194728987388
White,White,BROOKLYN,Brooklyn,0.3544537793699563
Latino,Latino,BROOKLYN,Brooklyn,0.2912034634540677
Black,Black,BROOKLYN,Brooklyn,0.2451743695324641
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.592945001015895
White,White,THE BRONX,Bronx,0.3883383360638056
Latino,Latino,THE BRONX,Bronx,0.2536717230602566
Black,Black,THE BRONX,Bronx,0.2422528390371232
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.458160089902285
White,White,%all%,%all%,0.4183255182000138
Latino,Latino,%all%,%all%,0.30598657363663
Black,Black,%all%,%all%,0.2542550091792964
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5953112815549404
