Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,69305,43756,0.2995936540872347
STATEN ISLAND,Staten Island,F,Female,82669,53950,0.3376822309272792
QUEENS,Queens,M,Male,318032,191514,0.2880296385452296
QUEENS,Queens,F,Female,376662,232361,0.3235466173951424
MANHATTAN,Manhattan,M,Male,291855,181006,0.3822043916316488
MANHATTAN,Manhattan,F,Female,350882,229306,0.4138684669174756
BROOKLYN,Brooklyn,M,Male,290921,168070,0.2399954132754328
BROOKLYN,Brooklyn,F,Female,365837,220529,0.2714510328268195
THE BRONX,Bronx,M,Male,152545,97323,0.2286538912971659
THE BRONX,Bronx,F,Female,195659,127279,0.2595370658181357
%all%,%all%,M,Male,1122658,681669,0.2821853674392986
%all%,%all%,F,Female,1371709,863425,0.3147294275574564
