Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.1737331516227106
STATEN ISLAND,Staten Island,F,Female,0.2030681472355137
QUEENS,Queens,M,Male,0.1358409456823278
QUEENS,Queens,F,Female,0.1589201683326587
MANHATTAN,Manhattan,M,Male,0.1913678198242996
MANHATTAN,Manhattan,F,Female,0.2254881631149604
BROOKLYN,Brooklyn,M,Male,0.1142299857737382
BROOKLYN,Brooklyn,F,Female,0.1347573175827528
THE BRONX,Bronx,M,Male,0.1470947800861504
THE BRONX,Bronx,F,Female,0.1642576823349511
%all%,%all%,M,Male,0.1449923327946849
%all%,%all%,F,Female,0.1688119181759925
