Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5894,5272,0.5323639301221852
STATEN ISLAND,Staten Island,75to84,75 to 84,17004,15435,0.6787897444918424
STATEN ISLAND,Staten Island,65to74,65 to 74,36530,33064,0.708630703615594
STATEN ISLAND,Staten Island,55to64,55 to 64,44306,38094,0.576047179797369
STATEN ISLAND,Staten Island,45to54,45 to 54,34958,28829,0.4492457769743814
STATEN ISLAND,Staten Island,35to44,35 to 44,27665,22140,0.3741508094771353
STATEN ISLAND,Staten Island,25to34,25 to 34,23845,18546,0.2865619060863116
STATEN ISLAND,Staten Island,18to24,18 to 24,13983,9719,0.2449835095847558
STATEN ISLAND,Staten Island,%all%,%all%,204185,171099,0.4585038733470974
QUEENS,Queens,85andUp,85+,28413,24839,0.4811410325633472
QUEENS,Queens,75to84,75 to 84,74122,65852,0.6000408314142822
QUEENS,Queens,65to74,65 to 74,158894,140346,0.672395151076219
QUEENS,Queens,55to64,55 to 64,216690,177881,0.5894324655331712
QUEENS,Queens,45to54,45 to 54,197504,152603,0.5062369927363978
QUEENS,Queens,35to44,35 to 44,187263,140018,0.453706458342244
QUEENS,Queens,25to34,25 to 34,182853,133498,0.368272239027702
QUEENS,Queens,18to24,18 to 24,78827,49257,0.2819098776417789
QUEENS,Queens,%all%,%all%,1124566,884294,0.4861003816301798
MANHATTAN,Manhattan,85andUp,85+,24982,22744,0.5710896175294486
MANHATTAN,Manhattan,75to84,75 to 84,64842,60149,0.702362805494875
MANHATTAN,Manhattan,65to74,65 to 74,117301,108306,0.7327532583940985
MANHATTAN,Manhattan,55to64,55 to 64,136669,119016,0.6544952736941884
MANHATTAN,Manhattan,45to54,45 to 54,131481,110632,0.5727265624281782
MANHATTAN,Manhattan,35to44,35 to 44,148335,122254,0.5270778877940162
MANHATTAN,Manhattan,25to34,25 to 34,220396,176710,0.491492652272712
MANHATTAN,Manhattan,18to24,18 to 24,81014,58327,0.4050841746971449
MANHATTAN,Manhattan,%all%,%all%,925020,778138,0.5623386754781452
BROOKLYN,Brooklyn,85andUp,85+,22855,19320,0.3789721459395842
BROOKLYN,Brooklyn,75to84,75 to 84,63438,54971,0.5153805045893064
BROOKLYN,Brooklyn,65to74,65 to 74,138672,120174,0.5715957249468472
BROOKLYN,Brooklyn,55to64,55 to 64,169190,136988,0.4794232418149684
BROOKLYN,Brooklyn,45to54,45 to 54,160776,125298,0.4242126717360834
BROOKLYN,Brooklyn,35to44,35 to 44,183574,142963,0.3993536060069388
BROOKLYN,Brooklyn,25to34,25 to 34,220157,169222,0.3600154029116609
BROOKLYN,Brooklyn,18to24,18 to 24,70346,44619,0.2146921800830332
BROOKLYN,Brooklyn,%all%,%all%,1029008,813555,0.409884468566737
THE BRONX,Bronx,85andUp,85+,13245,11532,0.4334657040440834
THE BRONX,Bronx,75to84,75 to 84,37754,33588,0.58019740658465
THE BRONX,Bronx,65to74,65 to 74,79935,70443,0.6685895609829308
THE BRONX,Bronx,55to64,55 to 64,114147,94763,0.5798314988701432
THE BRONX,Bronx,45to54,45 to 54,97230,76249,0.4383738683659784
THE BRONX,Bronx,35to44,35 to 44,78940,58843,0.3283832299388638
THE BRONX,Bronx,25to34,25 to 34,65079,46865,0.2065415976352537
THE BRONX,Bronx,18to24,18 to 24,34603,21321,0.1539894105592821
THE BRONX,Bronx,%all%,%all%,520933,413604,0.3859058252631987
%all%,%all%,85andUp,85+,95389,83707,0.4677989024131264
%all%,%all%,75to84,75 to 84,257160,229995,0.6010197961352158
%all%,%all%,65to74,65 to 74,531332,472333,0.6571178152324376
%all%,%all%,55to64,55 to 64,681002,566742,0.5673522345499068
%all%,%all%,45to54,45 to 54,621949,493611,0.480125709205544
%all%,%all%,35to44,35 to 44,625777,486218,0.4276677227492862
%all%,%all%,25to34,25 to 34,712330,544841,0.3672180138963496
%all%,%all%,18to24,18 to 24,278773,183243,0.2600405659260529
%all%,%all%,%all%,%all%,3803712,3060690,0.4614549713164394
